method=U-Net + FADC-aligned, backbone=U-Net, module_type=FADC-aligned, seed=2026
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.403829, val_miou=0.803637, val_dice=0.829899
epoch=1, train_loss=0.333319, val_miou=0.796893, val_dice=0.831120
epoch=2, train_loss=0.288000, val_miou=0.817665, val_dice=0.845577
epoch=3, train_loss=0.276452, val_miou=0.794978, val_dice=0.829576
epoch=4, train_loss=0.269945, val_miou=0.668444, val_dice=0.727957
epoch=5, train_loss=0.239932, val_miou=0.814445, val_dice=0.844509
epoch=6, train_loss=0.217200, val_miou=0.713756, val_dice=0.763864
epoch=7, train_loss=0.228592, val_miou=0.819488, val_dice=0.850549
epoch=8, train_loss=0.203474, val_miou=0.823875, val_dice=0.850450
epoch=9, train_loss=0.195889, val_miou=0.762262, val_dice=0.803679
epoch=10, train_loss=0.180218, val_miou=0.680343, val_dice=0.737056
epoch=11, train_loss=0.192630, val_miou=0.824102, val_dice=0.856039
epoch=12, train_loss=0.172289, val_miou=0.694420, val_dice=0.751228
epoch=13, train_loss=0.171657, val_miou=0.763848, val_dice=0.805723
epoch=14, train_loss=0.157726, val_miou=0.809690, val_dice=0.843554
epoch=15, train_loss=0.150904, val_miou=0.826972, val_dice=0.857872
epoch=16, train_loss=0.150610, val_miou=0.817139, val_dice=0.850025
epoch=17, train_loss=0.192984, val_miou=0.707811, val_dice=0.761134
epoch=18, train_loss=0.155647, val_miou=0.773301, val_dice=0.814927
epoch=19, train_loss=0.149278, val_miou=0.844255, val_dice=0.872041
epoch=20, train_loss=0.138715, val_miou=0.791141, val_dice=0.830170
epoch=21, train_loss=0.149216, val_miou=0.838521, val_dice=0.866647
epoch=22, train_loss=0.145444, val_miou=0.806853, val_dice=0.843175
epoch=23, train_loss=0.138241, val_miou=0.774641, val_dice=0.816403
epoch=24, train_loss=0.131875, val_miou=0.803138, val_dice=0.839750
epoch=25, train_loss=0.131246, val_miou=0.792741, val_dice=0.831592
epoch=26, train_loss=0.132809, val_miou=0.822384, val_dice=0.855242
epoch=27, train_loss=0.127763, val_miou=0.842707, val_dice=0.871345
epoch=28, train_loss=0.128580, val_miou=0.807599, val_dice=0.843325
epoch=29, train_loss=0.127413, val_miou=0.821176, val_dice=0.855140
epoch=30, train_loss=0.121022, val_miou=0.824020, val_dice=0.856976
epoch=31, train_loss=0.124958, val_miou=0.839993, val_dice=0.865084
epoch=32, train_loss=0.119586, val_miou=0.833569, val_dice=0.864763
epoch=33, train_loss=0.113849, val_miou=0.832891, val_dice=0.864972
epoch=34, train_loss=0.114381, val_miou=0.818568, val_dice=0.853687
epoch=35, train_loss=0.117151, val_miou=0.837077, val_dice=0.868017
epoch=36, train_loss=0.113043, val_miou=0.828217, val_dice=0.860762
epoch=37, train_loss=0.114284, val_miou=0.828659, val_dice=0.860691
epoch=38, train_loss=0.115935, val_miou=0.815348, val_dice=0.851467
epoch=39, train_loss=0.112062, val_miou=0.832865, val_dice=0.865020
epoch=40, train_loss=0.112510, val_miou=0.840076, val_dice=0.869949
epoch=41, train_loss=0.111893, val_miou=0.847281, val_dice=0.875997
epoch=42, train_loss=0.108054, val_miou=0.818271, val_dice=0.853558
epoch=43, train_loss=0.107208, val_miou=0.841874, val_dice=0.871860
epoch=44, train_loss=0.108337, val_miou=0.840138, val_dice=0.869717
epoch=45, train_loss=0.108563, val_miou=0.843933, val_dice=0.874313
epoch=46, train_loss=0.110192, val_miou=0.840199, val_dice=0.870688
epoch=47, train_loss=0.109041, val_miou=0.832863, val_dice=0.865299
epoch=48, train_loss=0.106978, val_miou=0.833669, val_dice=0.865735
epoch=49, train_loss=0.106943, val_miou=0.837075, val_dice=0.868878
selected_best_epoch=41, val_miou=0.847281, val_dice=0.875997, test_miou=0.878748, test_dice=0.894914
