method=U-Net + SE, backbone=U-Net, module_type=SE, seed=2026
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.401160, val_miou=0.786699, val_dice=0.810350
epoch=1, train_loss=0.333434, val_miou=0.806176, val_dice=0.838040
epoch=2, train_loss=0.280825, val_miou=0.821909, val_dice=0.851557
epoch=3, train_loss=0.270109, val_miou=0.779176, val_dice=0.818413
epoch=4, train_loss=0.263110, val_miou=0.629972, val_dice=0.697049
epoch=5, train_loss=0.230329, val_miou=0.807766, val_dice=0.836935
epoch=6, train_loss=0.226145, val_miou=0.664771, val_dice=0.725461
epoch=7, train_loss=0.225405, val_miou=0.787648, val_dice=0.824217
epoch=8, train_loss=0.211703, val_miou=0.813976, val_dice=0.838189
epoch=9, train_loss=0.181560, val_miou=0.756529, val_dice=0.798745
epoch=10, train_loss=0.176675, val_miou=0.719217, val_dice=0.769194
epoch=11, train_loss=0.210655, val_miou=0.800442, val_dice=0.836682
epoch=12, train_loss=0.166386, val_miou=0.563431, val_dice=0.650150
epoch=13, train_loss=0.172863, val_miou=0.712655, val_dice=0.764376
epoch=14, train_loss=0.155935, val_miou=0.795012, val_dice=0.831909
epoch=15, train_loss=0.155241, val_miou=0.833393, val_dice=0.862981
epoch=16, train_loss=0.155707, val_miou=0.826593, val_dice=0.859008
epoch=17, train_loss=0.166369, val_miou=0.813199, val_dice=0.847188
epoch=18, train_loss=0.145566, val_miou=0.806053, val_dice=0.840060
epoch=19, train_loss=0.155251, val_miou=0.829179, val_dice=0.859620
epoch=20, train_loss=0.144202, val_miou=0.814605, val_dice=0.848482
epoch=21, train_loss=0.151898, val_miou=0.823500, val_dice=0.848990
epoch=22, train_loss=0.146569, val_miou=0.817825, val_dice=0.852195
epoch=23, train_loss=0.144617, val_miou=0.789321, val_dice=0.828901
epoch=24, train_loss=0.134439, val_miou=0.795646, val_dice=0.834306
epoch=25, train_loss=0.132928, val_miou=0.801775, val_dice=0.838705
epoch=26, train_loss=0.130754, val_miou=0.825045, val_dice=0.858057
epoch=27, train_loss=0.127842, val_miou=0.836257, val_dice=0.866993
epoch=28, train_loss=0.128992, val_miou=0.774660, val_dice=0.816736
epoch=29, train_loss=0.127816, val_miou=0.823291, val_dice=0.856517
epoch=30, train_loss=0.122598, val_miou=0.832032, val_dice=0.862932
epoch=31, train_loss=0.122720, val_miou=0.841928, val_dice=0.867550
epoch=32, train_loss=0.120836, val_miou=0.838494, val_dice=0.868303
epoch=33, train_loss=0.116201, val_miou=0.844448, val_dice=0.873798
epoch=34, train_loss=0.118267, val_miou=0.826697, val_dice=0.859407
epoch=35, train_loss=0.117247, val_miou=0.842636, val_dice=0.871497
epoch=36, train_loss=0.115040, val_miou=0.840077, val_dice=0.869988
epoch=37, train_loss=0.116714, val_miou=0.831628, val_dice=0.862687
epoch=38, train_loss=0.115661, val_miou=0.815537, val_dice=0.851705
epoch=39, train_loss=0.110398, val_miou=0.832751, val_dice=0.864685
epoch=40, train_loss=0.113370, val_miou=0.840393, val_dice=0.869877
epoch=41, train_loss=0.112614, val_miou=0.844839, val_dice=0.873799
epoch=42, train_loss=0.109761, val_miou=0.819988, val_dice=0.854666
epoch=43, train_loss=0.107528, val_miou=0.839276, val_dice=0.869393
epoch=44, train_loss=0.109188, val_miou=0.841051, val_dice=0.870213
epoch=45, train_loss=0.110141, val_miou=0.839641, val_dice=0.870304
epoch=46, train_loss=0.109546, val_miou=0.838114, val_dice=0.868524
epoch=47, train_loss=0.108177, val_miou=0.833102, val_dice=0.864717
epoch=48, train_loss=0.108272, val_miou=0.833638, val_dice=0.865233
epoch=49, train_loss=0.106739, val_miou=0.837796, val_dice=0.868599
selected_best_epoch=41, val_miou=0.844839, val_dice=0.873799, test_miou=0.874927, test_dice=0.891253
