method=U-Net, backbone=U-Net, module_type=baseline, seed=2026
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.404667, val_miou=0.802543, val_dice=0.829050
epoch=1, train_loss=0.333707, val_miou=0.807965, val_dice=0.840441
epoch=2, train_loss=0.292211, val_miou=0.817825, val_dice=0.844949
epoch=3, train_loss=0.275555, val_miou=0.813209, val_dice=0.843983
epoch=4, train_loss=0.269646, val_miou=0.678551, val_dice=0.735464
epoch=5, train_loss=0.244685, val_miou=0.785757, val_dice=0.822003
epoch=6, train_loss=0.219431, val_miou=0.736063, val_dice=0.782347
epoch=7, train_loss=0.234077, val_miou=0.745188, val_dice=0.787474
epoch=8, train_loss=0.209809, val_miou=0.827012, val_dice=0.852757
epoch=9, train_loss=0.190052, val_miou=0.769069, val_dice=0.810032
epoch=10, train_loss=0.183928, val_miou=0.808803, val_dice=0.841137
epoch=11, train_loss=0.185066, val_miou=0.821601, val_dice=0.853251
epoch=12, train_loss=0.175175, val_miou=0.589120, val_dice=0.668705
epoch=13, train_loss=0.180089, val_miou=0.658726, val_dice=0.722150
epoch=14, train_loss=0.159164, val_miou=0.810211, val_dice=0.843906
epoch=15, train_loss=0.163171, val_miou=0.798133, val_dice=0.834487
epoch=16, train_loss=0.152503, val_miou=0.812069, val_dice=0.845885
epoch=17, train_loss=0.164795, val_miou=0.803013, val_dice=0.837907
epoch=18, train_loss=0.151302, val_miou=0.810959, val_dice=0.843168
epoch=19, train_loss=0.152001, val_miou=0.833788, val_dice=0.862268
epoch=20, train_loss=0.143320, val_miou=0.700783, val_dice=0.756011
epoch=21, train_loss=0.156136, val_miou=0.796470, val_dice=0.829366
epoch=22, train_loss=0.155984, val_miou=0.787356, val_dice=0.827056
epoch=23, train_loss=0.140270, val_miou=0.793827, val_dice=0.832010
epoch=24, train_loss=0.135807, val_miou=0.801582, val_dice=0.838411
epoch=25, train_loss=0.135572, val_miou=0.790562, val_dice=0.828636
epoch=26, train_loss=0.139854, val_miou=0.804734, val_dice=0.840890
epoch=27, train_loss=0.134560, val_miou=0.833944, val_dice=0.864219
epoch=28, train_loss=0.124928, val_miou=0.764102, val_dice=0.808233
epoch=29, train_loss=0.130623, val_miou=0.813749, val_dice=0.847950
epoch=30, train_loss=0.127625, val_miou=0.827503, val_dice=0.858740
epoch=31, train_loss=0.127229, val_miou=0.835508, val_dice=0.864938
epoch=32, train_loss=0.122588, val_miou=0.827738, val_dice=0.859280
epoch=33, train_loss=0.119386, val_miou=0.782152, val_dice=0.823087
epoch=34, train_loss=0.118489, val_miou=0.784567, val_dice=0.824350
epoch=35, train_loss=0.119856, val_miou=0.823911, val_dice=0.856713
epoch=36, train_loss=0.117295, val_miou=0.817427, val_dice=0.851297
epoch=37, train_loss=0.117503, val_miou=0.802538, val_dice=0.838909
epoch=38, train_loss=0.116547, val_miou=0.808800, val_dice=0.844946
epoch=39, train_loss=0.112056, val_miou=0.815759, val_dice=0.850080
epoch=40, train_loss=0.114879, val_miou=0.830241, val_dice=0.861421
epoch=41, train_loss=0.112985, val_miou=0.831982, val_dice=0.862741
epoch=42, train_loss=0.113674, val_miou=0.786132, val_dice=0.826367
epoch=43, train_loss=0.110084, val_miou=0.823945, val_dice=0.856216
epoch=44, train_loss=0.109581, val_miou=0.828133, val_dice=0.859532
epoch=45, train_loss=0.110750, val_miou=0.818423, val_dice=0.852089
epoch=46, train_loss=0.110916, val_miou=0.822976, val_dice=0.855650
epoch=47, train_loss=0.110526, val_miou=0.814924, val_dice=0.848843
epoch=48, train_loss=0.109064, val_miou=0.815011, val_dice=0.849303
epoch=49, train_loss=0.108787, val_miou=0.819579, val_dice=0.852760
selected_best_epoch=31, val_miou=0.835508, val_dice=0.864938, test_miou=0.856289, test_dice=0.873615
