method=U-Net + SRFG, backbone=U-Net, module_type=SRFG, seed=2026
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.401130, val_miou=0.805133, val_dice=0.831610
epoch=1, train_loss=0.335354, val_miou=0.809080, val_dice=0.840062
epoch=2, train_loss=0.286707, val_miou=0.812243, val_dice=0.842747
epoch=3, train_loss=0.267766, val_miou=0.803725, val_dice=0.837057
epoch=4, train_loss=0.258914, val_miou=0.754560, val_dice=0.797018
epoch=5, train_loss=0.236211, val_miou=0.821051, val_dice=0.848286
epoch=6, train_loss=0.212731, val_miou=0.691644, val_dice=0.747144
epoch=7, train_loss=0.221254, val_miou=0.810432, val_dice=0.843823
epoch=8, train_loss=0.201793, val_miou=0.803769, val_dice=0.827477
epoch=9, train_loss=0.191101, val_miou=0.787183, val_dice=0.826296
epoch=10, train_loss=0.173140, val_miou=0.736636, val_dice=0.782098
epoch=11, train_loss=0.208275, val_miou=0.823583, val_dice=0.855962
epoch=12, train_loss=0.168916, val_miou=0.751867, val_dice=0.797663
epoch=13, train_loss=0.171621, val_miou=0.742677, val_dice=0.790354
epoch=14, train_loss=0.160409, val_miou=0.829359, val_dice=0.860217
epoch=15, train_loss=0.155953, val_miou=0.832827, val_dice=0.863836
epoch=16, train_loss=0.153858, val_miou=0.799401, val_dice=0.837287
epoch=17, train_loss=0.156544, val_miou=0.754545, val_dice=0.799737
epoch=18, train_loss=0.142161, val_miou=0.760452, val_dice=0.804171
epoch=19, train_loss=0.150191, val_miou=0.824306, val_dice=0.854783
epoch=20, train_loss=0.139381, val_miou=0.738699, val_dice=0.788116
epoch=21, train_loss=0.150723, val_miou=0.830182, val_dice=0.859402
epoch=22, train_loss=0.139798, val_miou=0.784966, val_dice=0.825902
epoch=23, train_loss=0.143533, val_miou=0.810473, val_dice=0.845836
epoch=24, train_loss=0.132942, val_miou=0.785586, val_dice=0.826112
epoch=25, train_loss=0.128767, val_miou=0.814959, val_dice=0.850892
epoch=26, train_loss=0.128002, val_miou=0.809994, val_dice=0.846007
epoch=27, train_loss=0.128823, val_miou=0.842586, val_dice=0.871590
epoch=28, train_loss=0.124338, val_miou=0.802551, val_dice=0.839267
epoch=29, train_loss=0.125309, val_miou=0.818411, val_dice=0.852816
epoch=30, train_loss=0.122015, val_miou=0.817355, val_dice=0.851215
epoch=31, train_loss=0.119430, val_miou=0.846210, val_dice=0.873996
epoch=32, train_loss=0.118119, val_miou=0.836484, val_dice=0.867012
epoch=33, train_loss=0.113621, val_miou=0.830663, val_dice=0.863357
epoch=34, train_loss=0.111063, val_miou=0.823522, val_dice=0.857603
epoch=35, train_loss=0.114975, val_miou=0.842162, val_dice=0.871213
epoch=36, train_loss=0.110514, val_miou=0.840080, val_dice=0.870191
epoch=37, train_loss=0.111572, val_miou=0.823946, val_dice=0.857627
epoch=38, train_loss=0.112531, val_miou=0.818492, val_dice=0.854276
epoch=39, train_loss=0.110168, val_miou=0.834471, val_dice=0.866417
epoch=40, train_loss=0.110970, val_miou=0.844026, val_dice=0.872935
epoch=41, train_loss=0.108825, val_miou=0.848554, val_dice=0.877132
epoch=42, train_loss=0.106578, val_miou=0.818575, val_dice=0.853865
epoch=43, train_loss=0.104772, val_miou=0.841328, val_dice=0.871344
epoch=44, train_loss=0.107442, val_miou=0.840819, val_dice=0.870547
epoch=45, train_loss=0.107243, val_miou=0.840339, val_dice=0.871242
epoch=46, train_loss=0.106505, val_miou=0.836887, val_dice=0.868035
epoch=47, train_loss=0.104399, val_miou=0.833372, val_dice=0.865421
epoch=48, train_loss=0.105065, val_miou=0.835531, val_dice=0.867233
epoch=49, train_loss=0.104083, val_miou=0.836979, val_dice=0.868439
selected_best_epoch=41, val_miou=0.848554, val_dice=0.877132, test_miou=0.875874, test_dice=0.892199
