backbone,method,module_type,seed,miou,dice,val_miou,val_dice,test_miou,test_dice,best_epoch,checkpoint_path,status,notes
FCN,FCN,baseline,2026,0.6496544634683376,0.6233025628332397,0.6992840524497208,0.7184060184848304,0.6496544634683376,0.6233025628332397,24,/home/superws/2026_Projects/FA_DCG/exp/task_008_main_module_table/20260525_181115/checkpoints/fcn_seed2026_best.pt,completed,trained under task_008 protocol; checkpoint selected by validation mIoU; miou/dice columns are test metrics
FCN,FCN + CBAM,CBAM,2026,0.6813132881532536,0.670456924085737,0.716732629988575,0.7416269682822484,0.6813132881532536,0.670456924085737,35,exp/task_008_main_module_table/20260525_181115/checkpoints/fcn_cbam_seed2026_best.pt,completed,trained under task_008 protocol; checkpoint selected by validation mIoU; miou/dice columns are test metrics
FCN,FCN + FADC-aligned,FADC-aligned,2026,0.6745242457186937,0.6640873462753313,0.695411879595195,0.7223521547732564,0.6745242457186937,0.6640873462753313,31,exp/task_008_main_module_table/20260525_181115/checkpoints/fcn_fadcaligned_seed2026_best.pt,completed,trained under task_008 protocol; checkpoint selected by validation mIoU; miou/dice columns are test metrics
FCN,FCN + SE,SE,2026,0.6742369500236298,0.6589476508854595,0.7017193106219191,0.7249247922846339,0.6742369500236298,0.6589476508854595,31,exp/task_008_main_module_table/20260525_181115/checkpoints/fcn_se_seed2026_best.pt,completed,trained under task_008 protocol; checkpoint selected by validation mIoU; miou/dice columns are test metrics
FCN,FCN + SRFG,SRFG,2026,0.8233531948644097,0.8398449766109157,0.8156927836753047,0.8460940480461885,0.8233531948644097,0.8398449766109157,46,/home/superws/2026_Projects/FA_DCG/exp/task_008_main_module_table/20260525_181115/checkpoints/fcn_srfg_seed2026_best.pt,completed,trained under task_008 protocol; checkpoint selected by validation mIoU; miou/dice columns are test metrics
U-Net,U-Net,baseline,2026,0.8562891409308594,0.8736153306475182,0.8355075050002292,0.8649376000897859,0.8562891409308594,0.8736153306475182,31,/home/superws/2026_Projects/FA_DCG/exp/task_008_main_module_table/20260525_181115/checkpoints/unet_seed2026_best.pt,completed,trained under task_008 protocol; checkpoint selected by validation mIoU; miou/dice columns are test metrics
U-Net,U-Net + CBAM,CBAM,2026,0.8792193476610644,0.8946097420245261,0.8489760135824325,0.8759568438020535,0.8792193476610644,0.8946097420245261,31,exp/task_008_main_module_table/20260525_181115/checkpoints/unet_cbam_seed2026_best.pt,completed,trained under task_008 protocol; checkpoint selected by validation mIoU; miou/dice columns are test metrics
U-Net,U-Net + FADC-aligned,FADC-aligned,2026,0.8787481261068688,0.8949135733818252,0.8472814675940676,0.8759974087525547,0.8787481261068688,0.8949135733818252,41,exp/task_008_main_module_table/20260525_181115/checkpoints/unet_fadcaligned_seed2026_best.pt,completed,trained under task_008 protocol; checkpoint selected by validation mIoU; miou/dice columns are test metrics
U-Net,U-Net + SE,SE,2026,0.8749273737073581,0.8912534069408753,0.8448387646867728,0.873799002846831,0.8749273737073581,0.8912534069408753,41,exp/task_008_main_module_table/20260525_181115/checkpoints/unet_se_seed2026_best.pt,completed,trained under task_008 protocol; checkpoint selected by validation mIoU; miou/dice columns are test metrics
U-Net,U-Net + SRFG,SRFG,2026,0.8758743304725032,0.8921992566327545,0.8485544870971804,0.8771317436291756,0.8758743304725032,0.8921992566327545,41,/home/superws/2026_Projects/FA_DCG/exp/task_008_main_module_table/20260525_181115/checkpoints/unet_srfg_seed2026_best.pt,completed,trained under task_008 protocol; checkpoint selected by validation mIoU; miou/dice columns are test metrics
