backbone,method,module_type,num_seeds,miou_mean,miou_std,dice_mean,dice_std,params_abs,params_delta_vs_backbone,flops_abs,flops_delta_vs_backbone,latency_ms_mean,fps,notes
FCN,FCN,baseline,1,0.649654,0.000000,0.623303,0.000000,134271937,0,20518027264,0,2.656144,376.485674,mean/std over completed task_008 seeds
FCN,FCN + SE,SE,1,0.674237,0.000000,0.658948,0.000000,134305249,33312,20518093312,66048,2.704110,369.807470,mean/std over completed task_008 seeds
FCN,FCN + CBAM,CBAM,1,0.681313,0.000000,0.670457,0.000000,134304803,32866,20518132352,105088,2.748988,363.770242,mean/std over completed task_008 seeds
FCN,FCN + FADC-aligned,FADC-aligned,1,0.674524,0.000000,0.664087,0.000000,134410730,138793,20520633344,2606080,3.553430,281.418274,mean/std over completed task_008 seeds
FCN,FCN + SRFG,SRFG,1,0.823353,0.000000,0.839845,0.000000,145061445,10789508,20192006656,-326020608,1.946957,513.622137,mean/std over completed task_008 seeds
U-Net,U-Net,baseline,1,0.856289,0.000000,0.873615,0.000000,31042369,0,54662266880,0,2.763470,361.863915,mean/std over completed task_008 seeds
U-Net,U-Net + SE,SE,1,0.874927,0.000000,0.891253,0.000000,31174529,132160,54662661120,394240,2.791419,358.240689,mean/std over completed task_008 seeds
U-Net,U-Net + CBAM,CBAM,1,0.879219,0.000000,0.894610,0.000000,31173539,131170,54662817280,550400,2.851861,350.648230,mean/std over completed task_008 seeds
U-Net,U-Net + FADC-aligned,FADC-aligned,1,0.878748,0.000000,0.894914,0.000000,31483786,441417,54682781696,20514816,3.758301,266.077704,mean/std over completed task_008 seeds
U-Net,U-Net + SRFG,SRFG,1,0.875874,0.000000,0.892199,0.000000,31606851,564482,54670918656,8651776,2.895684,345.341546,mean/std over completed task_008 seeds
