backbone,method,variant,params_abs,params_delta_vs_unet,macs_abs,macs_delta_vs_unet,flops_unit,flops_tool,latency_ms_mean,latency_ms_std,fps,device,gpu_name,input_shape,notes
U-Net,U-Net,baseline,31042369,0,54662266880,0,MACs,thop,2.834703,0.199368,352.770639,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + CBAM,cbam,31173539,131170,54662817280,550400,MACs,thop,3.105889,0.205196,321.968987,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,31483886,441517,54682806784,20539904,MACs,thop,4.597029,0.118901,217.531793,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,31483935,441566,54683343616,21076736,MACs,thop,4.800261,0.185698,208.322009,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,31483984,441615,54683356160,21089280,MACs,thop,4.449567,0.461008,224.740948,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + FADC-SR-branch,fadc_sr_branch,31494027,451658,54685665280,23398400,MACs,thop,3.820457,0.137200,261.748763,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + FADC-SR-branch + SARSpatial-noVar,fadc_sr_branch_sar_spatial_no_var,31494176,451807,54686227200,23960320,MACs,thop,4.148882,0.130198,241.028783,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + FADC-SR-high,fadc_sr_high,31494027,451658,54685665280,23398400,MACs,thop,3.788785,0.095875,263.936891,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,31494176,451807,54686227200,23960320,MACs,thop,4.102940,0.113599,243.727643,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + FADC-aligned,fadc_aligned,31483786,441417,54682781696,20514816,MACs,thop,3.586797,0.104717,278.800264,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + SRFG,srfg_v2d_nomsc,31606851,564482,54670918656,8651776,MACs,thop,2.892448,0.251259,345.727891,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,31587395,545026,54666200064,3933184,MACs,thop,2.839628,0.211411,352.158845,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + V2d-noLocalVar,v2d_no_local_var,31616067,573698,54673277952,11011072,MACs,thop,2.848233,0.148752,351.094874,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
