method,variant,seed,source,metric,value,notes
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,high_frequency_weight_mean,0.0058693899773061275,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,high_frequency_weight_std,0.05013379082083702,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,low_frequency_weight_mean,1.9999995231628418,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,low_frequency_weight_std,2.1584191927104257e-06,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,adaptive_kernel_low_gate_mean,0.8279375433921814,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,adaptive_kernel_high_gate_mean,1.292415738105774,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,alpha_value,0.24966438114643097,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,gate_mean,0.5268255472183228,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,gate_std,0.25538936257362366,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d1,0.9999995231628418,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d2,1.7518003403438343e-07,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d3,1.0685543117006091e-07,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d4,2.2961494039464014e-07,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,small_dilation_weight,0.9999997019767761,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,large_dilation_weight,3.364703786701284e-07,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,sr_beta,0.09923926740884781,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,sr_reliability_mean,0.9504796266555786,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,sr_reliability_std,0.00038655061507597566,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,sr_local_high_mean,0.12217352539300919,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,sr_local_var_mean,nan,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,high_frequency_weight_mean,1.69962477684021,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,high_frequency_weight_std,0.6794442534446716,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,low_frequency_weight_mean,1.1179097327840282e-06,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,low_frequency_weight_std,5.062121545051923e-06,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,adaptive_kernel_low_gate_mean,1.8978242874145508,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,adaptive_kernel_high_gate_mean,1.4619393348693848,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,alpha_value,0.3307441473007202,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,gate_mean,0.8250049352645874,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,gate_std,0.29610592126846313,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d1,0.6875808238983154,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d2,0.24190475046634674,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d3,0.049173347651958466,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d4,0.021341053768992424,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,small_dilation_weight,0.929485559463501,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,large_dilation_weight,0.07051440328359604,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,spatial_gamma,0.0,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,spatial_mask_mean,0.5,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,spatial_mask_std,0.0,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,spatial_mask_min,0.5,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,spatial_mask_max,0.5,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,spatial_local_high_mean,0.250261127948761,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,spatial_local_var_mean,nan,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,high_frequency_weight_mean,0.22781245410442352,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,high_frequency_weight_std,0.5423763394355774,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,low_frequency_weight_mean,2.0,diagnostics from first deterministic test batch
