method=U-Net + CBAM, variant=cbam, priority=baseline, seed=123
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.418967, val_miou=0.766740, val_dice=0.787565
epoch=1, train_loss=0.342521, val_miou=0.809299, val_dice=0.836397
epoch=2, train_loss=0.310193, val_miou=0.823181, val_dice=0.850296
epoch=3, train_loss=0.294083, val_miou=0.743843, val_dice=0.788523
epoch=4, train_loss=0.253116, val_miou=0.803668, val_dice=0.828117
epoch=5, train_loss=0.256885, val_miou=0.802313, val_dice=0.836538
epoch=6, train_loss=0.246159, val_miou=0.818780, val_dice=0.849258
epoch=7, train_loss=0.231728, val_miou=0.793097, val_dice=0.829347
epoch=8, train_loss=0.219665, val_miou=0.761845, val_dice=0.801537
epoch=9, train_loss=0.212254, val_miou=0.749482, val_dice=0.791810
epoch=10, train_loss=0.195465, val_miou=0.596664, val_dice=0.671045
epoch=11, train_loss=0.182095, val_miou=0.837775, val_dice=0.864506
epoch=12, train_loss=0.181725, val_miou=0.779798, val_dice=0.802307
epoch=13, train_loss=0.173433, val_miou=0.822350, val_dice=0.853614
epoch=14, train_loss=0.168956, val_miou=0.795380, val_dice=0.832722
epoch=15, train_loss=0.159099, val_miou=0.782706, val_dice=0.819960
epoch=16, train_loss=0.162455, val_miou=0.829612, val_dice=0.860408
epoch=17, train_loss=0.154757, val_miou=0.819001, val_dice=0.852462
epoch=18, train_loss=0.150343, val_miou=0.815240, val_dice=0.848502
epoch=19, train_loss=0.150492, val_miou=0.830728, val_dice=0.861302
epoch=20, train_loss=0.146323, val_miou=0.851623, val_dice=0.878331
epoch=21, train_loss=0.142078, val_miou=0.840472, val_dice=0.869638
epoch=22, train_loss=0.139748, val_miou=0.837156, val_dice=0.867359
epoch=23, train_loss=0.134691, val_miou=0.842771, val_dice=0.872773
epoch=24, train_loss=0.133860, val_miou=0.844903, val_dice=0.871491
epoch=25, train_loss=0.125372, val_miou=0.850673, val_dice=0.877426
epoch=26, train_loss=0.129029, val_miou=0.847900, val_dice=0.876091
epoch=27, train_loss=0.126389, val_miou=0.837685, val_dice=0.867140
epoch=28, train_loss=0.124019, val_miou=0.850081, val_dice=0.877877
epoch=29, train_loss=0.124581, val_miou=0.830634, val_dice=0.862962
epoch=30, train_loss=0.117969, val_miou=0.850021, val_dice=0.876728
epoch=31, train_loss=0.121909, val_miou=0.840942, val_dice=0.869403
epoch=32, train_loss=0.117820, val_miou=0.844608, val_dice=0.873205
epoch=33, train_loss=0.118937, val_miou=0.845165, val_dice=0.873884
epoch=34, train_loss=0.117429, val_miou=0.845993, val_dice=0.873624
epoch=35, train_loss=0.118923, val_miou=0.846213, val_dice=0.875266
epoch=36, train_loss=0.115380, val_miou=0.851709, val_dice=0.879402
epoch=37, train_loss=0.118196, val_miou=0.851311, val_dice=0.878896
epoch=38, train_loss=0.112857, val_miou=0.850316, val_dice=0.878702
epoch=39, train_loss=0.109550, val_miou=0.844314, val_dice=0.873528
epoch=40, train_loss=0.109854, val_miou=0.844467, val_dice=0.873269
epoch=41, train_loss=0.109149, val_miou=0.849225, val_dice=0.877019
epoch=42, train_loss=0.108251, val_miou=0.842189, val_dice=0.871647
epoch=43, train_loss=0.107274, val_miou=0.851006, val_dice=0.878569
epoch=44, train_loss=0.109877, val_miou=0.854195, val_dice=0.881365
epoch=45, train_loss=0.109323, val_miou=0.850800, val_dice=0.878625
epoch=46, train_loss=0.108639, val_miou=0.853079, val_dice=0.879661
epoch=47, train_loss=0.104170, val_miou=0.847472, val_dice=0.875987
epoch=48, train_loss=0.106894, val_miou=0.849324, val_dice=0.877490
epoch=49, train_loss=0.109783, val_miou=0.850268, val_dice=0.878268
selected_best_epoch=44, val_miou=0.854195, val_dice=0.881365, test_miou=0.880922, test_dice=0.896710
