method=U-Net + FADC-aligned, variant=fadc_aligned, priority=baseline, seed=42
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.428986, val_miou=0.795475, val_dice=0.825697
epoch=1, train_loss=0.343261, val_miou=0.808073, val_dice=0.833174
epoch=2, train_loss=0.316293, val_miou=0.798393, val_dice=0.831469
epoch=3, train_loss=0.280332, val_miou=0.809084, val_dice=0.841333
epoch=4, train_loss=0.247714, val_miou=0.739786, val_dice=0.785348
epoch=5, train_loss=0.258312, val_miou=0.735034, val_dice=0.781033
epoch=6, train_loss=0.241487, val_miou=0.826384, val_dice=0.857043
epoch=7, train_loss=0.221411, val_miou=0.768181, val_dice=0.805795
epoch=8, train_loss=0.200842, val_miou=0.824523, val_dice=0.853489
epoch=9, train_loss=0.195668, val_miou=0.817083, val_dice=0.844647
epoch=10, train_loss=0.190439, val_miou=0.699551, val_dice=0.753761
epoch=11, train_loss=0.187426, val_miou=0.815567, val_dice=0.847904
epoch=12, train_loss=0.183054, val_miou=0.777249, val_dice=0.816896
epoch=13, train_loss=0.169218, val_miou=0.821434, val_dice=0.846237
epoch=14, train_loss=0.166710, val_miou=0.731966, val_dice=0.781417
epoch=15, train_loss=0.171353, val_miou=0.813489, val_dice=0.846114
epoch=16, train_loss=0.159721, val_miou=0.788319, val_dice=0.824793
epoch=17, train_loss=0.170319, val_miou=0.732560, val_dice=0.780406
epoch=18, train_loss=0.156309, val_miou=0.700652, val_dice=0.754816
epoch=19, train_loss=0.160494, val_miou=0.797974, val_dice=0.834291
epoch=20, train_loss=0.143845, val_miou=0.797664, val_dice=0.833613
epoch=21, train_loss=0.143678, val_miou=0.807004, val_dice=0.842555
epoch=22, train_loss=0.136985, val_miou=0.788131, val_dice=0.826711
epoch=23, train_loss=0.143370, val_miou=0.808166, val_dice=0.843476
epoch=24, train_loss=0.133819, val_miou=0.791354, val_dice=0.829928
epoch=25, train_loss=0.136739, val_miou=0.826449, val_dice=0.858400
epoch=26, train_loss=0.130782, val_miou=0.820812, val_dice=0.852894
epoch=27, train_loss=0.127874, val_miou=0.798950, val_dice=0.836437
epoch=28, train_loss=0.129545, val_miou=0.830345, val_dice=0.860495
epoch=29, train_loss=0.125976, val_miou=0.765913, val_dice=0.808796
epoch=30, train_loss=0.126329, val_miou=0.691608, val_dice=0.749025
epoch=31, train_loss=0.128749, val_miou=0.822010, val_dice=0.854733
epoch=32, train_loss=0.123680, val_miou=0.835614, val_dice=0.864603
epoch=33, train_loss=0.118553, val_miou=0.806307, val_dice=0.842888
epoch=34, train_loss=0.128685, val_miou=0.831470, val_dice=0.861257
epoch=35, train_loss=0.127862, val_miou=0.809689, val_dice=0.844722
epoch=36, train_loss=0.116369, val_miou=0.808306, val_dice=0.844297
epoch=37, train_loss=0.115508, val_miou=0.810879, val_dice=0.845509
epoch=38, train_loss=0.114806, val_miou=0.829120, val_dice=0.860679
epoch=39, train_loss=0.112619, val_miou=0.828123, val_dice=0.859863
epoch=40, train_loss=0.111581, val_miou=0.818677, val_dice=0.852606
epoch=41, train_loss=0.114209, val_miou=0.819288, val_dice=0.852646
epoch=42, train_loss=0.110852, val_miou=0.828095, val_dice=0.859420
epoch=43, train_loss=0.113631, val_miou=0.827519, val_dice=0.858793
epoch=44, train_loss=0.110910, val_miou=0.825196, val_dice=0.857427
epoch=45, train_loss=0.111730, val_miou=0.822604, val_dice=0.855430
epoch=46, train_loss=0.111229, val_miou=0.822337, val_dice=0.855630
epoch=47, train_loss=0.106116, val_miou=0.818859, val_dice=0.852403
epoch=48, train_loss=0.108127, val_miou=0.817794, val_dice=0.851584
epoch=49, train_loss=0.110517, val_miou=0.817986, val_dice=0.851567
selected_best_epoch=32, val_miou=0.835614, val_dice=0.864603, test_miou=0.862594, test_dice=0.879863
