method=U-Net + FADC-CBAM-SpatialOnly, variant=fadc_cbam_spatial_only, priority=A, seed=42
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.428966, val_miou=0.795171, val_dice=0.825276
epoch=1, train_loss=0.343448, val_miou=0.804497, val_dice=0.829951
epoch=2, train_loss=0.314304, val_miou=0.760065, val_dice=0.800782
epoch=3, train_loss=0.278148, val_miou=0.819183, val_dice=0.844708
epoch=4, train_loss=0.247512, val_miou=0.790438, val_dice=0.826539
epoch=5, train_loss=0.257701, val_miou=0.757018, val_dice=0.793684
epoch=6, train_loss=0.228339, val_miou=0.778902, val_dice=0.817786
epoch=7, train_loss=0.221020, val_miou=0.821833, val_dice=0.849246
epoch=8, train_loss=0.199634, val_miou=0.770128, val_dice=0.810629
epoch=9, train_loss=0.186388, val_miou=0.818195, val_dice=0.849526
epoch=10, train_loss=0.187919, val_miou=0.828315, val_dice=0.859434
epoch=11, train_loss=0.190490, val_miou=0.826330, val_dice=0.855484
epoch=12, train_loss=0.175091, val_miou=0.825914, val_dice=0.855748
epoch=13, train_loss=0.162672, val_miou=0.776610, val_dice=0.796988
epoch=14, train_loss=0.180702, val_miou=0.771401, val_dice=0.813569
epoch=15, train_loss=0.175519, val_miou=0.838174, val_dice=0.866343
epoch=16, train_loss=0.163832, val_miou=0.814050, val_dice=0.847230
epoch=17, train_loss=0.158500, val_miou=0.793313, val_dice=0.831001
epoch=18, train_loss=0.155250, val_miou=0.713923, val_dice=0.766507
epoch=19, train_loss=0.156435, val_miou=0.774416, val_dice=0.814898
epoch=20, train_loss=0.147782, val_miou=0.807665, val_dice=0.842182
epoch=21, train_loss=0.146358, val_miou=0.822711, val_dice=0.855589
epoch=22, train_loss=0.135911, val_miou=0.811553, val_dice=0.846059
epoch=23, train_loss=0.134712, val_miou=0.817846, val_dice=0.851168
epoch=24, train_loss=0.132815, val_miou=0.813495, val_dice=0.847664
epoch=25, train_loss=0.135762, val_miou=0.813945, val_dice=0.848471
epoch=26, train_loss=0.131377, val_miou=0.827731, val_dice=0.858043
epoch=27, train_loss=0.128807, val_miou=0.803902, val_dice=0.840562
epoch=28, train_loss=0.129063, val_miou=0.793900, val_dice=0.831501
epoch=29, train_loss=0.127357, val_miou=0.781699, val_dice=0.821651
epoch=30, train_loss=0.128804, val_miou=0.707122, val_dice=0.761433
epoch=31, train_loss=0.125268, val_miou=0.825026, val_dice=0.856592
epoch=32, train_loss=0.121902, val_miou=0.829394, val_dice=0.860132
epoch=33, train_loss=0.119507, val_miou=0.830398, val_dice=0.862402
epoch=34, train_loss=0.123802, val_miou=0.835942, val_dice=0.864188
epoch=35, train_loss=0.132598, val_miou=0.814345, val_dice=0.848284
epoch=36, train_loss=0.119380, val_miou=0.812431, val_dice=0.848000
epoch=37, train_loss=0.116471, val_miou=0.822499, val_dice=0.854840
epoch=38, train_loss=0.113227, val_miou=0.831813, val_dice=0.862634
epoch=39, train_loss=0.114508, val_miou=0.826090, val_dice=0.858434
epoch=40, train_loss=0.111745, val_miou=0.822751, val_dice=0.856035
epoch=41, train_loss=0.115096, val_miou=0.820338, val_dice=0.853585
epoch=42, train_loss=0.111062, val_miou=0.831798, val_dice=0.862399
epoch=43, train_loss=0.113953, val_miou=0.831163, val_dice=0.861769
epoch=44, train_loss=0.111258, val_miou=0.830346, val_dice=0.861707
epoch=45, train_loss=0.111978, val_miou=0.831021, val_dice=0.862244
epoch=46, train_loss=0.111269, val_miou=0.828901, val_dice=0.861031
epoch=47, train_loss=0.106738, val_miou=0.826397, val_dice=0.858611
epoch=48, train_loss=0.108407, val_miou=0.822980, val_dice=0.855914
epoch=49, train_loss=0.110130, val_miou=0.824029, val_dice=0.856528
selected_best_epoch=15, val_miou=0.838174, val_dice=0.866343, test_miou=0.863663, test_dice=0.879791
