method=U-Net + FADC-SARSpatial-noVar, variant=fadc_sar_spatial_no_var, priority=A, seed=2026
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.400532, val_miou=0.803283, val_dice=0.829163
epoch=1, train_loss=0.335020, val_miou=0.796966, val_dice=0.831528
epoch=2, train_loss=0.290196, val_miou=0.820722, val_dice=0.849250
epoch=3, train_loss=0.269147, val_miou=0.768134, val_dice=0.807822
epoch=4, train_loss=0.265927, val_miou=0.720868, val_dice=0.769692
epoch=5, train_loss=0.238891, val_miou=0.795067, val_dice=0.828755
epoch=6, train_loss=0.214603, val_miou=0.679259, val_dice=0.735919
epoch=7, train_loss=0.231166, val_miou=0.628902, val_dice=0.694669
epoch=8, train_loss=0.203229, val_miou=0.811944, val_dice=0.842550
epoch=9, train_loss=0.189353, val_miou=0.741789, val_dice=0.787361
epoch=10, train_loss=0.178096, val_miou=0.644606, val_dice=0.710304
epoch=11, train_loss=0.187360, val_miou=0.777048, val_dice=0.817316
epoch=12, train_loss=0.167704, val_miou=0.631815, val_dice=0.700934
epoch=13, train_loss=0.173656, val_miou=0.739952, val_dice=0.786446
epoch=14, train_loss=0.163317, val_miou=0.823134, val_dice=0.854329
epoch=15, train_loss=0.155498, val_miou=0.817666, val_dice=0.850225
epoch=16, train_loss=0.152572, val_miou=0.820233, val_dice=0.852800
epoch=17, train_loss=0.185308, val_miou=0.805110, val_dice=0.840348
epoch=18, train_loss=0.146304, val_miou=0.827482, val_dice=0.857660
epoch=19, train_loss=0.146949, val_miou=0.841224, val_dice=0.866745
epoch=20, train_loss=0.137901, val_miou=0.739965, val_dice=0.788714
epoch=21, train_loss=0.147877, val_miou=0.821411, val_dice=0.853460
epoch=22, train_loss=0.140465, val_miou=0.820508, val_dice=0.854058
epoch=23, train_loss=0.135254, val_miou=0.770158, val_dice=0.813379
epoch=24, train_loss=0.132518, val_miou=0.802159, val_dice=0.839426
epoch=25, train_loss=0.129596, val_miou=0.812485, val_dice=0.846873
epoch=26, train_loss=0.131962, val_miou=0.820172, val_dice=0.853294
epoch=27, train_loss=0.125239, val_miou=0.842808, val_dice=0.871445
epoch=28, train_loss=0.122992, val_miou=0.789403, val_dice=0.828558
epoch=29, train_loss=0.126845, val_miou=0.840640, val_dice=0.870757
epoch=30, train_loss=0.120713, val_miou=0.840093, val_dice=0.870105
epoch=31, train_loss=0.122554, val_miou=0.847517, val_dice=0.872708
epoch=32, train_loss=0.118006, val_miou=0.839573, val_dice=0.869327
epoch=33, train_loss=0.112769, val_miou=0.825297, val_dice=0.858735
epoch=34, train_loss=0.111618, val_miou=0.825031, val_dice=0.858352
epoch=35, train_loss=0.114778, val_miou=0.841926, val_dice=0.871721
epoch=36, train_loss=0.113359, val_miou=0.832033, val_dice=0.863735
epoch=37, train_loss=0.112327, val_miou=0.837623, val_dice=0.867663
epoch=38, train_loss=0.112487, val_miou=0.816356, val_dice=0.852096
epoch=39, train_loss=0.109948, val_miou=0.837709, val_dice=0.868559
epoch=40, train_loss=0.110017, val_miou=0.845469, val_dice=0.874091
epoch=41, train_loss=0.108322, val_miou=0.851115, val_dice=0.878702
epoch=42, train_loss=0.106564, val_miou=0.825646, val_dice=0.859217
epoch=43, train_loss=0.105296, val_miou=0.845024, val_dice=0.874025
epoch=44, train_loss=0.105459, val_miou=0.846543, val_dice=0.874503
epoch=45, train_loss=0.106625, val_miou=0.845355, val_dice=0.874800
epoch=46, train_loss=0.107369, val_miou=0.845210, val_dice=0.874277
epoch=47, train_loss=0.106654, val_miou=0.840088, val_dice=0.870311
epoch=48, train_loss=0.104819, val_miou=0.839864, val_dice=0.870305
epoch=49, train_loss=0.104658, val_miou=0.843174, val_dice=0.872940
selected_best_epoch=41, val_miou=0.851115, val_dice=0.878702, test_miou=0.877584, test_dice=0.893429
