method=U-Net + FADC-SARSpatial-withVar, variant=fadc_sar_spatial_with_var, priority=B, seed=2026
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.403523, val_miou=0.795730, val_dice=0.819571
epoch=1, train_loss=0.332335, val_miou=0.789374, val_dice=0.825400
epoch=2, train_loss=0.284726, val_miou=0.817579, val_dice=0.844379
epoch=3, train_loss=0.267668, val_miou=0.802208, val_dice=0.834579
epoch=4, train_loss=0.261222, val_miou=0.542253, val_dice=0.632392
epoch=5, train_loss=0.239883, val_miou=0.813883, val_dice=0.843479
epoch=6, train_loss=0.213254, val_miou=0.710047, val_dice=0.761578
epoch=7, train_loss=0.220467, val_miou=0.630385, val_dice=0.696958
epoch=8, train_loss=0.204672, val_miou=0.813626, val_dice=0.844468
epoch=9, train_loss=0.183902, val_miou=0.770189, val_dice=0.810734
epoch=10, train_loss=0.176944, val_miou=0.708499, val_dice=0.760601
epoch=11, train_loss=0.187572, val_miou=0.819559, val_dice=0.852142
epoch=12, train_loss=0.164370, val_miou=0.635201, val_dice=0.703671
epoch=13, train_loss=0.183947, val_miou=0.668599, val_dice=0.727887
epoch=14, train_loss=0.175190, val_miou=0.788100, val_dice=0.826678
epoch=15, train_loss=0.151083, val_miou=0.836560, val_dice=0.866113
epoch=16, train_loss=0.149994, val_miou=0.809976, val_dice=0.843862
epoch=17, train_loss=0.184226, val_miou=0.755151, val_dice=0.798432
epoch=18, train_loss=0.150422, val_miou=0.815430, val_dice=0.847873
epoch=19, train_loss=0.150745, val_miou=0.834432, val_dice=0.863382
epoch=20, train_loss=0.138688, val_miou=0.791545, val_dice=0.830134
epoch=21, train_loss=0.153074, val_miou=0.827322, val_dice=0.857941
epoch=22, train_loss=0.143327, val_miou=0.818379, val_dice=0.852118
epoch=23, train_loss=0.138387, val_miou=0.796531, val_dice=0.833698
epoch=24, train_loss=0.131851, val_miou=0.823969, val_dice=0.856704
epoch=25, train_loss=0.132639, val_miou=0.806883, val_dice=0.842051
epoch=26, train_loss=0.132940, val_miou=0.820428, val_dice=0.853487
epoch=27, train_loss=0.128602, val_miou=0.852121, val_dice=0.878340
epoch=28, train_loss=0.127717, val_miou=0.820448, val_dice=0.853465
epoch=29, train_loss=0.132494, val_miou=0.834470, val_dice=0.864972
epoch=30, train_loss=0.123676, val_miou=0.815275, val_dice=0.850255
epoch=31, train_loss=0.127694, val_miou=0.845552, val_dice=0.871002
epoch=32, train_loss=0.120776, val_miou=0.831995, val_dice=0.862706
epoch=33, train_loss=0.113857, val_miou=0.835140, val_dice=0.866514
epoch=34, train_loss=0.117013, val_miou=0.831387, val_dice=0.863302
epoch=35, train_loss=0.117379, val_miou=0.841305, val_dice=0.870991
epoch=36, train_loss=0.114153, val_miou=0.841228, val_dice=0.870786
epoch=37, train_loss=0.117190, val_miou=0.830328, val_dice=0.861615
epoch=38, train_loss=0.118778, val_miou=0.822323, val_dice=0.856778
epoch=39, train_loss=0.111805, val_miou=0.840859, val_dice=0.871032
epoch=40, train_loss=0.114840, val_miou=0.847162, val_dice=0.875137
epoch=41, train_loss=0.111598, val_miou=0.849427, val_dice=0.877531
epoch=42, train_loss=0.109423, val_miou=0.825465, val_dice=0.859232
epoch=43, train_loss=0.108387, val_miou=0.845330, val_dice=0.874208
epoch=44, train_loss=0.108407, val_miou=0.844063, val_dice=0.872693
epoch=45, train_loss=0.111008, val_miou=0.848920, val_dice=0.877795
epoch=46, train_loss=0.111031, val_miou=0.845184, val_dice=0.874183
epoch=47, train_loss=0.108556, val_miou=0.839224, val_dice=0.869790
epoch=48, train_loss=0.107923, val_miou=0.838336, val_dice=0.869101
epoch=49, train_loss=0.107529, val_miou=0.844291, val_dice=0.873955
selected_best_epoch=27, val_miou=0.852121, val_dice=0.878340, test_miou=0.875967, test_dice=0.891018
