method=U-Net + FADC-SR-branch, variant=fadc_sr_branch, priority=B, seed=2026
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.400599, val_miou=0.806388, val_dice=0.832933
epoch=1, train_loss=0.332536, val_miou=0.802253, val_dice=0.835372
epoch=2, train_loss=0.288832, val_miou=0.813368, val_dice=0.843678
epoch=3, train_loss=0.275971, val_miou=0.767167, val_dice=0.807256
epoch=4, train_loss=0.267590, val_miou=0.611156, val_dice=0.682870
epoch=5, train_loss=0.236744, val_miou=0.820135, val_dice=0.848765
epoch=6, train_loss=0.219645, val_miou=0.695141, val_dice=0.749302
epoch=7, train_loss=0.227399, val_miou=0.608562, val_dice=0.679402
epoch=8, train_loss=0.215012, val_miou=0.812817, val_dice=0.843291
epoch=9, train_loss=0.187368, val_miou=0.703270, val_dice=0.756292
epoch=10, train_loss=0.178582, val_miou=0.687198, val_dice=0.742682
epoch=11, train_loss=0.182179, val_miou=0.709281, val_dice=0.761765
epoch=12, train_loss=0.174146, val_miou=0.667062, val_dice=0.728586
epoch=13, train_loss=0.181111, val_miou=0.713567, val_dice=0.766311
epoch=14, train_loss=0.157800, val_miou=0.826418, val_dice=0.857826
epoch=15, train_loss=0.156606, val_miou=0.829241, val_dice=0.859435
epoch=16, train_loss=0.155813, val_miou=0.794990, val_dice=0.832702
epoch=17, train_loss=0.187493, val_miou=0.794703, val_dice=0.830340
epoch=18, train_loss=0.154087, val_miou=0.808290, val_dice=0.840485
epoch=19, train_loss=0.147811, val_miou=0.838800, val_dice=0.866738
epoch=20, train_loss=0.136432, val_miou=0.771742, val_dice=0.814075
epoch=21, train_loss=0.153787, val_miou=0.831554, val_dice=0.861508
epoch=22, train_loss=0.140156, val_miou=0.813380, val_dice=0.848198
epoch=23, train_loss=0.139787, val_miou=0.771515, val_dice=0.814422
epoch=24, train_loss=0.132452, val_miou=0.823902, val_dice=0.856538
epoch=25, train_loss=0.130989, val_miou=0.815840, val_dice=0.849211
epoch=26, train_loss=0.132868, val_miou=0.820513, val_dice=0.853849
epoch=27, train_loss=0.126861, val_miou=0.844646, val_dice=0.872796
epoch=28, train_loss=0.125499, val_miou=0.807034, val_dice=0.843043
epoch=29, train_loss=0.127779, val_miou=0.825041, val_dice=0.857452
epoch=30, train_loss=0.121120, val_miou=0.838833, val_dice=0.868926
epoch=31, train_loss=0.124534, val_miou=0.851007, val_dice=0.876723
epoch=32, train_loss=0.119623, val_miou=0.840437, val_dice=0.870008
epoch=33, train_loss=0.112837, val_miou=0.843798, val_dice=0.873353
epoch=34, train_loss=0.113638, val_miou=0.833901, val_dice=0.866060
epoch=35, train_loss=0.115786, val_miou=0.847477, val_dice=0.876263
epoch=36, train_loss=0.113735, val_miou=0.838137, val_dice=0.868606
epoch=37, train_loss=0.114251, val_miou=0.829456, val_dice=0.861746
epoch=38, train_loss=0.115522, val_miou=0.826871, val_dice=0.860658
epoch=39, train_loss=0.113172, val_miou=0.841299, val_dice=0.871380
epoch=40, train_loss=0.112757, val_miou=0.844660, val_dice=0.873544
epoch=41, train_loss=0.110700, val_miou=0.848278, val_dice=0.876753
epoch=42, train_loss=0.108775, val_miou=0.818017, val_dice=0.853105
epoch=43, train_loss=0.108224, val_miou=0.844617, val_dice=0.873825
epoch=44, train_loss=0.108714, val_miou=0.844549, val_dice=0.873163
epoch=45, train_loss=0.108794, val_miou=0.848119, val_dice=0.877154
epoch=46, train_loss=0.109037, val_miou=0.842281, val_dice=0.872122
epoch=47, train_loss=0.109459, val_miou=0.840632, val_dice=0.870896
epoch=48, train_loss=0.107222, val_miou=0.839415, val_dice=0.870196
epoch=49, train_loss=0.106006, val_miou=0.841078, val_dice=0.871742
selected_best_epoch=31, val_miou=0.851007, val_dice=0.876723, test_miou=0.873023, test_dice=0.887726
