method=U-Net + FADC-SR-high, variant=fadc_sr_high, priority=A, seed=2026
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.403347, val_miou=0.798206, val_dice=0.823731
epoch=1, train_loss=0.337338, val_miou=0.798584, val_dice=0.832387
epoch=2, train_loss=0.288055, val_miou=0.803159, val_dice=0.835604
epoch=3, train_loss=0.272559, val_miou=0.820480, val_dice=0.850845
epoch=4, train_loss=0.264687, val_miou=0.612982, val_dice=0.684610
epoch=5, train_loss=0.242185, val_miou=0.798665, val_dice=0.829988
epoch=6, train_loss=0.233962, val_miou=0.722200, val_dice=0.770388
epoch=7, train_loss=0.251901, val_miou=0.801675, val_dice=0.829110
epoch=8, train_loss=0.235466, val_miou=0.680313, val_dice=0.678048
epoch=9, train_loss=0.197652, val_miou=0.720017, val_dice=0.769282
epoch=10, train_loss=0.189853, val_miou=0.680690, val_dice=0.737087
epoch=11, train_loss=0.190275, val_miou=0.749969, val_dice=0.795838
epoch=12, train_loss=0.179127, val_miou=0.669321, val_dice=0.730569
epoch=13, train_loss=0.173669, val_miou=0.650044, val_dice=0.713938
epoch=14, train_loss=0.176336, val_miou=0.781699, val_dice=0.821122
epoch=15, train_loss=0.158114, val_miou=0.835657, val_dice=0.864485
epoch=16, train_loss=0.152540, val_miou=0.827819, val_dice=0.858318
epoch=17, train_loss=0.162659, val_miou=0.644688, val_dice=0.711279
epoch=18, train_loss=0.150641, val_miou=0.821330, val_dice=0.849803
epoch=19, train_loss=0.156279, val_miou=0.836167, val_dice=0.865565
epoch=20, train_loss=0.143658, val_miou=0.810645, val_dice=0.845236
epoch=21, train_loss=0.157370, val_miou=0.824907, val_dice=0.855506
epoch=22, train_loss=0.149664, val_miou=0.802605, val_dice=0.839385
epoch=23, train_loss=0.147885, val_miou=0.793871, val_dice=0.832059
epoch=24, train_loss=0.138908, val_miou=0.812715, val_dice=0.847983
epoch=25, train_loss=0.140142, val_miou=0.790638, val_dice=0.829720
epoch=26, train_loss=0.136301, val_miou=0.828017, val_dice=0.859351
epoch=27, train_loss=0.132037, val_miou=0.847994, val_dice=0.875177
epoch=28, train_loss=0.128884, val_miou=0.814597, val_dice=0.848990
epoch=29, train_loss=0.133756, val_miou=0.814767, val_dice=0.849579
epoch=30, train_loss=0.128182, val_miou=0.836987, val_dice=0.867077
epoch=31, train_loss=0.129221, val_miou=0.843270, val_dice=0.869051
epoch=32, train_loss=0.123739, val_miou=0.834328, val_dice=0.864815
epoch=33, train_loss=0.118682, val_miou=0.822004, val_dice=0.855871
epoch=34, train_loss=0.117559, val_miou=0.828041, val_dice=0.860438
epoch=35, train_loss=0.119964, val_miou=0.834655, val_dice=0.865906
epoch=36, train_loss=0.119908, val_miou=0.837661, val_dice=0.867739
epoch=37, train_loss=0.120532, val_miou=0.824075, val_dice=0.856571
epoch=38, train_loss=0.122287, val_miou=0.803431, val_dice=0.841635
epoch=39, train_loss=0.116856, val_miou=0.835754, val_dice=0.866845
epoch=40, train_loss=0.117818, val_miou=0.840293, val_dice=0.869899
epoch=41, train_loss=0.115845, val_miou=0.845675, val_dice=0.874548
epoch=42, train_loss=0.113790, val_miou=0.813575, val_dice=0.849649
epoch=43, train_loss=0.113280, val_miou=0.842544, val_dice=0.872100
epoch=44, train_loss=0.112037, val_miou=0.840147, val_dice=0.869238
epoch=45, train_loss=0.113078, val_miou=0.846017, val_dice=0.875526
epoch=46, train_loss=0.115021, val_miou=0.841237, val_dice=0.870868
epoch=47, train_loss=0.113271, val_miou=0.834875, val_dice=0.866178
epoch=48, train_loss=0.112196, val_miou=0.833722, val_dice=0.865212
epoch=49, train_loss=0.111256, val_miou=0.838101, val_dice=0.869183
selected_best_epoch=27, val_miou=0.847994, val_dice=0.875177, test_miou=0.874392, test_dice=0.889974
