method=U-Net + V2d-noBoundary-noLocalVar, variant=v2d_no_boundary_no_local_var, priority=B, seed=2026
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.401627, val_miou=0.801302, val_dice=0.825756
epoch=1, train_loss=0.330986, val_miou=0.780032, val_dice=0.818457
epoch=2, train_loss=0.287382, val_miou=0.782049, val_dice=0.804098
epoch=3, train_loss=0.267128, val_miou=0.823795, val_dice=0.851408
epoch=4, train_loss=0.257217, val_miou=0.588217, val_dice=0.666148
epoch=5, train_loss=0.230028, val_miou=0.768421, val_dice=0.807650
epoch=6, train_loss=0.220325, val_miou=0.831083, val_dice=0.859240
epoch=7, train_loss=0.222862, val_miou=0.782730, val_dice=0.817556
epoch=8, train_loss=0.212838, val_miou=0.821549, val_dice=0.848572
epoch=9, train_loss=0.184005, val_miou=0.803313, val_dice=0.837240
epoch=10, train_loss=0.193258, val_miou=0.639960, val_dice=0.706655
epoch=11, train_loss=0.206068, val_miou=0.840793, val_dice=0.868400
epoch=12, train_loss=0.171448, val_miou=0.706389, val_dice=0.761407
epoch=13, train_loss=0.173915, val_miou=0.736290, val_dice=0.784581
epoch=14, train_loss=0.158439, val_miou=0.816265, val_dice=0.849596
epoch=15, train_loss=0.160876, val_miou=0.828903, val_dice=0.859219
epoch=16, train_loss=0.161142, val_miou=0.809965, val_dice=0.846110
epoch=17, train_loss=0.165368, val_miou=0.790263, val_dice=0.828688
epoch=18, train_loss=0.144919, val_miou=0.768936, val_dice=0.809605
epoch=19, train_loss=0.156627, val_miou=0.834529, val_dice=0.864176
epoch=20, train_loss=0.148670, val_miou=0.813774, val_dice=0.848197
epoch=21, train_loss=0.152466, val_miou=0.816270, val_dice=0.846916
epoch=22, train_loss=0.138312, val_miou=0.789733, val_dice=0.829578
epoch=23, train_loss=0.150398, val_miou=0.813111, val_dice=0.844877
epoch=24, train_loss=0.140435, val_miou=0.809848, val_dice=0.845026
epoch=25, train_loss=0.132810, val_miou=0.821038, val_dice=0.854823
epoch=26, train_loss=0.127261, val_miou=0.827855, val_dice=0.860693
epoch=27, train_loss=0.130660, val_miou=0.836706, val_dice=0.867543
epoch=28, train_loss=0.127346, val_miou=0.814261, val_dice=0.849579
epoch=29, train_loss=0.131462, val_miou=0.805831, val_dice=0.842556
epoch=30, train_loss=0.127227, val_miou=0.822794, val_dice=0.856493
epoch=31, train_loss=0.121533, val_miou=0.852858, val_dice=0.880296
epoch=32, train_loss=0.121036, val_miou=0.825795, val_dice=0.858955
epoch=33, train_loss=0.114858, val_miou=0.843357, val_dice=0.873938
epoch=34, train_loss=0.116533, val_miou=0.829055, val_dice=0.861305
epoch=35, train_loss=0.118649, val_miou=0.850970, val_dice=0.878583
epoch=36, train_loss=0.112872, val_miou=0.846020, val_dice=0.875247
epoch=37, train_loss=0.117483, val_miou=0.838234, val_dice=0.868587
epoch=38, train_loss=0.116339, val_miou=0.819091, val_dice=0.854979
epoch=39, train_loss=0.114439, val_miou=0.843704, val_dice=0.873964
epoch=40, train_loss=0.113284, val_miou=0.845719, val_dice=0.874908
epoch=41, train_loss=0.111460, val_miou=0.849618, val_dice=0.878393
epoch=42, train_loss=0.110317, val_miou=0.835209, val_dice=0.867447
epoch=43, train_loss=0.108241, val_miou=0.842112, val_dice=0.872282
epoch=44, train_loss=0.109554, val_miou=0.845797, val_dice=0.874746
epoch=45, train_loss=0.109378, val_miou=0.848925, val_dice=0.878423
epoch=46, train_loss=0.109511, val_miou=0.847131, val_dice=0.876537
epoch=47, train_loss=0.108396, val_miou=0.846654, val_dice=0.876246
epoch=48, train_loss=0.107125, val_miou=0.839723, val_dice=0.870629
epoch=49, train_loss=0.107502, val_miou=0.845250, val_dice=0.875204
selected_best_epoch=31, val_miou=0.852858, val_dice=0.880296, test_miou=0.876026, test_dice=0.891790
