method=U-Net + V2d-noLocalVar, variant=v2d_no_local_var, priority=A, seed=2026
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.400181, val_miou=0.761664, val_dice=0.780567
epoch=1, train_loss=0.337524, val_miou=0.808586, val_dice=0.840687
epoch=2, train_loss=0.286705, val_miou=0.807584, val_dice=0.832381
epoch=3, train_loss=0.289993, val_miou=0.800927, val_dice=0.832163
epoch=4, train_loss=0.263512, val_miou=0.696640, val_dice=0.748976
epoch=5, train_loss=0.241196, val_miou=0.827978, val_dice=0.856458
epoch=6, train_loss=0.215368, val_miou=0.667568, val_dice=0.727310
epoch=7, train_loss=0.222953, val_miou=0.648544, val_dice=0.713795
epoch=8, train_loss=0.210952, val_miou=0.813567, val_dice=0.839810
epoch=9, train_loss=0.183636, val_miou=0.760574, val_dice=0.804103
epoch=10, train_loss=0.174423, val_miou=0.651854, val_dice=0.714596
epoch=11, train_loss=0.185826, val_miou=0.829065, val_dice=0.859011
epoch=12, train_loss=0.171925, val_miou=0.726186, val_dice=0.776273
epoch=13, train_loss=0.172936, val_miou=0.677875, val_dice=0.737334
epoch=14, train_loss=0.161626, val_miou=0.825342, val_dice=0.856545
epoch=15, train_loss=0.153576, val_miou=0.833461, val_dice=0.863531
epoch=16, train_loss=0.151482, val_miou=0.802161, val_dice=0.839603
epoch=17, train_loss=0.160011, val_miou=0.768910, val_dice=0.812215
epoch=18, train_loss=0.142747, val_miou=0.807756, val_dice=0.842676
epoch=19, train_loss=0.146957, val_miou=0.841564, val_dice=0.867822
epoch=20, train_loss=0.138268, val_miou=0.830395, val_dice=0.861657
epoch=21, train_loss=0.154862, val_miou=0.834425, val_dice=0.862623
epoch=22, train_loss=0.137218, val_miou=0.775774, val_dice=0.818916
epoch=23, train_loss=0.141201, val_miou=0.832749, val_dice=0.863813
epoch=24, train_loss=0.135375, val_miou=0.805192, val_dice=0.842039
epoch=25, train_loss=0.132450, val_miou=0.828789, val_dice=0.859849
epoch=26, train_loss=0.127009, val_miou=0.839845, val_dice=0.870062
epoch=27, train_loss=0.126599, val_miou=0.835331, val_dice=0.866343
epoch=28, train_loss=0.124236, val_miou=0.815644, val_dice=0.850278
epoch=29, train_loss=0.131086, val_miou=0.817151, val_dice=0.851463
epoch=30, train_loss=0.121396, val_miou=0.840765, val_dice=0.870507
epoch=31, train_loss=0.123051, val_miou=0.856994, val_dice=0.883678
epoch=32, train_loss=0.116015, val_miou=0.839077, val_dice=0.869898
epoch=33, train_loss=0.111791, val_miou=0.852819, val_dice=0.881105
epoch=34, train_loss=0.110855, val_miou=0.841575, val_dice=0.871901
epoch=35, train_loss=0.113408, val_miou=0.850529, val_dice=0.877413
epoch=36, train_loss=0.112134, val_miou=0.846926, val_dice=0.875740
epoch=37, train_loss=0.113710, val_miou=0.840572, val_dice=0.870490
epoch=38, train_loss=0.113369, val_miou=0.810969, val_dice=0.848083
epoch=39, train_loss=0.111860, val_miou=0.840818, val_dice=0.871323
epoch=40, train_loss=0.110248, val_miou=0.845988, val_dice=0.874744
epoch=41, train_loss=0.109403, val_miou=0.847745, val_dice=0.876810
epoch=42, train_loss=0.108436, val_miou=0.828609, val_dice=0.861825
epoch=43, train_loss=0.105823, val_miou=0.843272, val_dice=0.872829
epoch=44, train_loss=0.107634, val_miou=0.843260, val_dice=0.872477
epoch=45, train_loss=0.107366, val_miou=0.846040, val_dice=0.875938
epoch=46, train_loss=0.106286, val_miou=0.843399, val_dice=0.873565
epoch=47, train_loss=0.106270, val_miou=0.843149, val_dice=0.873301
epoch=48, train_loss=0.105252, val_miou=0.839045, val_dice=0.870108
epoch=49, train_loss=0.104736, val_miou=0.844834, val_dice=0.874758
selected_best_epoch=31, val_miou=0.856994, val_dice=0.883678, test_miou=0.879753, test_dice=0.895185
