backbone,method,variant,seed,val_miou,val_dice,test_miou,test_dice,best_epoch,checkpoint_path,status,notes
U-Net,U-Net,baseline,2026,0.8355075050002292,0.8649376000897859,0.8562891409308594,0.8736153306475182,31,/home/superws/2026_Projects/FA_DCG/exp/task_008_main_module_table/20260525_181115/checkpoints/unet_seed2026_best.pt,reused,reused from task_008: /home/superws/2026_Projects/FA_DCG/exp/task_008_main_module_table/20260525_181115/raw_metrics_per_seed.csv
U-Net,U-Net + CBAM,cbam,42,0.8512241007193548,0.878743231451608,0.8665598790619911,0.8833491434562778,35,/home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/checkpoints/unet_cbam_seed42_best.pt,completed,confirmation baseline: U-Net bottleneck CBAM under the task_009 protocol
U-Net,U-Net + CBAM,cbam,123,0.8541949536650307,0.8813646696447291,0.8809223815677835,0.8967095897894214,44,/home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/checkpoints/unet_cbam_seed123_best.pt,completed,confirmation baseline: U-Net bottleneck CBAM under the task_009 protocol
U-Net,U-Net + CBAM,cbam,2026,0.8489760135824325,0.8759568438020535,0.8792193476610644,0.8946097420245261,31,exp/task_008_main_module_table/20260525_181115/checkpoints/unet_cbam_seed2026_best.pt,reused,reused from task_008: /home/superws/2026_Projects/FA_DCG/exp/task_008_main_module_table/20260525_181115/raw_metrics_per_seed.csv
U-Net,U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,42,0.8381738959579851,0.8663432219872029,0.863663127937073,0.8797912497813514,15,/home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/checkpoints/unet_fadccbamspatialonly_seed42_best.pt,completed,control: FADC-aligned plus generic CBAM-style spatial-only mask
U-Net,U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,123,0.8523186372191159,0.8797994758169698,0.875618907149647,0.8916933335702528,46,/home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/checkpoints/unet_fadccbamspatialonly_seed123_best.pt,completed,control: FADC-aligned plus generic CBAM-style spatial-only mask
U-Net,U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,0.852750474389893,0.879240380148746,0.8809348910064179,0.8961023124420404,27,/home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/checkpoints/unet_fadccbamspatialonly_seed2026_best.pt,completed,control: FADC-aligned plus generic CBAM-style spatial-only mask
U-Net,U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,0.8511145672441243,0.8787015594653854,0.8775839951092349,0.8934292296913837,41,/home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/checkpoints/unet_fadcsarspatialnovar_seed2026_best.pt,completed,FADC-aligned plus SAR-guided spatial mask without local variance
U-Net,U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,0.8521205865412607,0.8783402870904445,0.8759669328313533,0.8910183500294097,27,/home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/checkpoints/unet_fadcsarspatialwithvar_seed2026_best.pt,completed,FADC-aligned plus SAR-guided spatial mask with local variance descriptor
U-Net,U-Net + FADC-SR-branch,fadc_sr_branch,2026,0.8510066755338908,0.8767225217570491,0.8730234978199185,0.8877259854246268,31,/home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/checkpoints/unet_fadcsrbranch_seed2026_best.pt,completed,FADC-aligned main operator; SRFG reliability modulates dilation branch responses
U-Net,U-Net + FADC-SR-branch + SARSpatial-noVar,fadc_sr_branch_sar_spatial_no_var,2026,0.8471157001320753,0.8753681806449595,0.8781561169511236,0.8940039948414144,41,/home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/checkpoints/unet_fadcsrbranch_sarspatialnovar_seed2026_best.pt,completed,combined branch reliability and SAR-guided spatial mask
U-Net,U-Net + FADC-SR-high,fadc_sr_high,2026,0.8479941323918492,0.8751770501725116,0.8743915573099017,0.8899743218054164,27,/home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/checkpoints/unet_fadcsrhigh_seed2026_best.pt,completed,FADC-aligned main operator; SRFG reliability modulates high-frequency selected bands
U-Net,U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,0.8444344809044166,0.8738710296632217,0.8739643151437125,0.8906813336336934,41,/home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/checkpoints/unet_fadcsrhigh_sarspatialnovar_seed2026_best.pt,completed,combined FADC high-band reliability and SAR-guided spatial mask
U-Net,U-Net + FADC-aligned,fadc_aligned,42,0.8356135699930991,0.8646034779692203,0.8625944492187902,0.8798630685745042,32,/home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/checkpoints/unet_fadcaligned_seed42_best.pt,completed,confirmation baseline: local PyTorch FADC-aligned block under the task_009 protocol
U-Net,U-Net + FADC-aligned,fadc_aligned,123,0.8442066876813136,0.871742948353517,0.869414848350571,0.8853301249864779,15,/home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/checkpoints/unet_fadcaligned_seed123_best.pt,completed,confirmation baseline: local PyTorch FADC-aligned block under the task_009 protocol
U-Net,U-Net + FADC-aligned,fadc_aligned,2026,0.8472814675940676,0.8759974087525547,0.8787481261068688,0.8949135733818252,41,exp/task_008_main_module_table/20260525_181115/checkpoints/unet_fadcaligned_seed2026_best.pt,reused,reused from task_008: /home/superws/2026_Projects/FA_DCG/exp/task_008_main_module_table/20260525_181115/raw_metrics_per_seed.csv
U-Net,U-Net + SRFG,srfg_v2d_nomsc,2026,0.8485544870971804,0.8771317436291756,0.8758743304725032,0.8921992566327545,41,/home/superws/2026_Projects/FA_DCG/exp/task_008_main_module_table/20260525_181115/checkpoints/unet_srfg_seed2026_best.pt,reused,reused from task_008: /home/superws/2026_Projects/FA_DCG/exp/task_008_main_module_table/20260525_181115/raw_metrics_per_seed.csv
U-Net,U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,2026,0.8528583606531297,0.8802963911224455,0.8760261797274096,0.8917898697974974,31,/home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/checkpoints/unet_v2dnoboundarynolocalvar_seed2026_best.pt,completed,"V2d ablation without boundary, MSC, or local variance; keeps channel and speckle gates"
U-Net,U-Net + V2d-noLocalVar,v2d_no_local_var,42,0.8511093226517414,0.8791821348408905,0.8764233195049529,0.8925197645614075,38,/home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/checkpoints/unet_v2dnolocalvar_seed42_best.pt,completed,historical V2d ablation without local variance descriptor
U-Net,U-Net + V2d-noLocalVar,v2d_no_local_var,123,0.8504045453200001,0.8777328275791998,0.8785341105621918,0.8940973408591031,46,/home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/checkpoints/unet_v2dnolocalvar_seed123_best.pt,completed,historical V2d ablation without local variance descriptor
U-Net,U-Net + V2d-noLocalVar,v2d_no_local_var,2026,0.856994432514852,0.883677547491759,0.8797525907754005,0.8951849339080222,31,/home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/checkpoints/unet_v2dnolocalvar_seed2026_best.pt,completed,historical V2d ablation without local variance descriptor
