backbone,method,variant,num_seeds,val_miou_mean,val_miou_std,test_miou_mean,test_miou_std,test_dice_mean,test_dice_std,params_abs,params_delta_vs_unet,macs_abs,latency_ms_mean,fps,notes
U-Net,U-Net,baseline,1,0.835508,0.000000,0.856289,0.000000,0.873615,0.000000,31042369,0,54662266880,2.834703,352.770639,screening summary; reused rows imported from task_008 when noted
U-Net,U-Net + CBAM,cbam,3,0.851465,0.002618,0.875567,0.007847,0.891556,0.007185,31173539,131170,54662817280,3.105889,321.968987,screening summary; reused rows imported from task_008 when noted
U-Net,U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,3,0.847748,0.008294,0.873406,0.008846,0.889196,0.008438,31483886,441517,54682806784,4.597029,217.531793,screening summary; reused rows imported from task_008 when noted
U-Net,U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,1,0.851115,0.000000,0.877584,0.000000,0.893429,0.000000,31483935,441566,54683343616,4.800261,208.322009,screening summary; reused rows imported from task_008 when noted
U-Net,U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,1,0.852121,0.000000,0.875967,0.000000,0.891018,0.000000,31483984,441615,54683356160,4.449567,224.740948,screening summary; reused rows imported from task_008 when noted
U-Net,U-Net + FADC-SR-branch,fadc_sr_branch,1,0.851007,0.000000,0.873023,0.000000,0.887726,0.000000,31494027,451658,54685665280,3.820457,261.748763,screening summary; reused rows imported from task_008 when noted
U-Net,U-Net + FADC-SR-branch + SARSpatial-noVar,fadc_sr_branch_sar_spatial_no_var,1,0.847116,0.000000,0.878156,0.000000,0.894004,0.000000,31494176,451807,54686227200,4.148882,241.028783,screening summary; reused rows imported from task_008 when noted
U-Net,U-Net + FADC-SR-high,fadc_sr_high,1,0.847994,0.000000,0.874392,0.000000,0.889974,0.000000,31494027,451658,54685665280,3.788785,263.936891,screening summary; reused rows imported from task_008 when noted
U-Net,U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,1,0.844434,0.000000,0.873964,0.000000,0.890681,0.000000,31494176,451807,54686227200,4.102940,243.727643,screening summary; reused rows imported from task_008 when noted
U-Net,U-Net + FADC-aligned,fadc_aligned,3,0.842367,0.006048,0.870252,0.008109,0.886702,0.007618,31483786,441417,54682781696,3.586797,278.800264,screening summary; reused rows imported from task_008 when noted
U-Net,U-Net + SRFG,srfg_v2d_nomsc,1,0.848554,0.000000,0.875874,0.000000,0.892199,0.000000,31606851,564482,54670918656,2.892448,345.727891,screening summary; reused rows imported from task_008 when noted
U-Net,U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,1,0.852858,0.000000,0.876026,0.000000,0.891790,0.000000,31587395,545026,54666200064,2.839628,352.158845,screening summary; reused rows imported from task_008 when noted
U-Net,U-Net + V2d-noLocalVar,v2d_no_local_var,3,0.852836,0.003618,0.878237,0.001684,0.893934,0.001340,31616067,573698,54673277952,2.848233,351.094874,screening summary; reused rows imported from task_008 when noted
