backbone,method,variant,params_abs,params_delta_vs_unet,macs_abs,macs_delta_vs_unet,flops_unit,flops_tool,latency_ms_mean,latency_ms_std,fps,device,gpu_name,input_shape,notes
U-Net,U-Net,baseline,31042369,0,54662266880,0,MACs,thop,2.972820,0.005791,336.380946,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + CBAM,cbam,31173539,131170,54662817280,550400,MACs,thop,3.242636,0.023371,308.391076,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,31483886,441517,54682806784,20539904,MACs,thop,4.781593,0.014232,209.135303,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,31483935,441566,54683343616,21076736,MACs,thop,4.845860,0.086383,206.361719,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,31483984,441615,54683356160,21089280,MACs,thop,5.003156,0.037509,199.873839,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + FADC-SR-branch,fadc_sr_branch,31494027,451658,54685665280,23398400,MACs,thop,4.810338,0.062365,207.885600,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + FADC-SR-branch + SARSpatial-noVar,fadc_sr_branch_sar_spatial_no_var,31494176,451807,54686227200,23960320,MACs,thop,5.328940,0.028652,187.654581,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + FADC-SR-high,fadc_sr_high,31494027,451658,54685665280,23398400,MACs,thop,4.795535,0.051066,208.527307,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,31494176,451807,54686227200,23960320,MACs,thop,4.943861,0.004574,202.271058,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + FADC-aligned,fadc_aligned,31483786,441417,54682781696,20514816,MACs,thop,3.739252,0.022221,267.433200,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + SRFG,srfg_v2d_nomsc,31606851,564482,54670918656,8651776,MACs,thop,3.045658,0.086602,328.336221,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,31587395,545026,54666200064,3933184,MACs,thop,2.974656,0.003781,336.173269,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + V2d-noLocalVar,v2d_no_local_var,31616067,573698,54673277952,11011072,MACs,thop,2.988937,0.004914,334.567103,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
