method,variant,seed,source,metric,value,notes
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,high_frequency_weight_mean,0.9987832903862,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,high_frequency_weight_std,0.0005755964666604996,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,low_frequency_weight_mean,0.9966227412223816,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,low_frequency_weight_std,0.000551316945347935,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,adaptive_kernel_low_gate_mean,1.462117075920105,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,adaptive_kernel_high_gate_mean,1.462117075920105,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,alpha_value,0.09986364096403122,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,gate_mean,0.49909842014312744,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,gate_std,0.018303854390978813,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d1,0.4744721055030823,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d2,0.17520877718925476,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d3,0.174265056848526,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d4,0.17605406045913696,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,small_dilation_weight,0.6496808528900146,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,large_dilation_weight,0.35031911730766296,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,sr_beta,0.10000216215848923,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,sr_reliability_mean,0.9499988555908203,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,sr_reliability_std,7.964135306792741e-08,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,sr_local_high_mean,0.0026162322610616684,diagnostics from first deterministic test batch
U-Net + FADC-SR-high,fadc_sr_high,2026,hybrid_bottleneck_test_sample,sr_local_var_mean,nan,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,high_frequency_weight_mean,1.0018541812896729,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,high_frequency_weight_std,0.0006408454501070082,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,low_frequency_weight_mean,0.9993103742599487,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,low_frequency_weight_std,0.00019819730368908495,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,adaptive_kernel_low_gate_mean,1.4621171951293945,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,adaptive_kernel_high_gate_mean,1.4621171951293945,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,alpha_value,0.10015884786844254,diagnostics from first deterministic test batch
