backbone,method,variant,num_seeds,val_miou_mean,val_miou_std,test_miou_mean,test_miou_std,test_dice_mean,test_dice_std,params_abs,params_delta_vs_unet,macs_abs,latency_ms_mean,fps,notes
U-Net,U-Net,baseline,1,0.835508,0.000000,0.856289,0.000000,0.873615,0.000000,31042369,0,54662266880,2.972820,336.380946,screening summary; reused rows imported from task_008 when noted
U-Net,U-Net + CBAM,cbam,1,0.848976,0.000000,0.879219,0.000000,0.894610,0.000000,31173539,131170,54662817280,3.242636,308.391076,screening summary; reused rows imported from task_008 when noted
U-Net,U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,1,0.526127,0.000000,0.210856,0.000000,0.205571,0.000000,31483886,441517,54682806784,4.781593,209.135303,screening summary; reused rows imported from task_008 when noted
U-Net,U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,1,0.526884,0.000000,0.211794,0.000000,0.205892,0.000000,31483935,441566,54683343616,4.845860,206.361719,screening summary; reused rows imported from task_008 when noted
U-Net,U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,1,0.527800,0.000000,0.213395,0.000000,0.206468,0.000000,31483984,441615,54683356160,5.003156,199.873839,screening summary; reused rows imported from task_008 when noted
U-Net,U-Net + FADC-SR-branch,fadc_sr_branch,1,0.528229,0.000000,0.214330,0.000000,0.206834,0.000000,31494027,451658,54685665280,4.810338,207.885600,screening summary; reused rows imported from task_008 when noted
U-Net,U-Net + FADC-SR-branch + SARSpatial-noVar,fadc_sr_branch_sar_spatial_no_var,1,0.526812,0.000000,0.211798,0.000000,0.205908,0.000000,31494176,451807,54686227200,5.328940,187.654581,screening summary; reused rows imported from task_008 when noted
U-Net,U-Net + FADC-SR-high,fadc_sr_high,1,0.528014,0.000000,0.214037,0.000000,0.206698,0.000000,31494027,451658,54685665280,4.795535,208.527307,screening summary; reused rows imported from task_008 when noted
U-Net,U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,1,0.527395,0.000000,0.212866,0.000000,0.206292,0.000000,31494176,451807,54686227200,4.943861,202.271058,screening summary; reused rows imported from task_008 when noted
U-Net,U-Net + FADC-aligned,fadc_aligned,1,0.847281,0.000000,0.878748,0.000000,0.894914,0.000000,31483786,441417,54682781696,3.739252,267.433200,screening summary; reused rows imported from task_008 when noted
U-Net,U-Net + SRFG,srfg_v2d_nomsc,1,0.848554,0.000000,0.875874,0.000000,0.892199,0.000000,31606851,564482,54670918656,3.045658,328.336221,screening summary; reused rows imported from task_008 when noted
U-Net,U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,1,0.525386,0.000000,0.210220,0.000000,0.205323,0.000000,31587395,545026,54666200064,2.974656,336.173269,screening summary; reused rows imported from task_008 when noted
U-Net,U-Net + V2d-noLocalVar,v2d_no_local_var,1,0.528028,0.000000,0.214290,0.000000,0.206803,0.000000,31616067,573698,54673277952,2.988937,334.567103,screening summary; reused rows imported from task_008 when noted
