backbone,method,variant,params_abs,params_delta_vs_unet,macs_abs,macs_delta_vs_unet,flops_unit,flops_tool,latency_ms_mean,latency_ms_std,fps,device,gpu_name,input_shape,notes
U-Net,U-Net,baseline,31042369,0,54662266880,0,MACs,thop,2.884045,0.233630,346.735280,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + CBAM,cbam,31173539,131170,54662817280,550400,MACs,thop,3.092413,0.156021,323.372104,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + FADC-aligned,fadc_aligned,31483786,441417,54682781696,20514816,MACs,thop,4.223656,2.842176,236.761725,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + SRFG,srfg_v2d_nomsc,31606851,564482,54670918656,8651776,MACs,thop,2.863488,0.233368,349.224419,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + V2d-BoundaryNoMSC-noLocalVar,v2d_boundary_no_msc_no_local_var,31597635,555266,54668559360,6292480,MACs,thop,2.853670,0.161738,350.425946,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + V2d-BoundaryNoMSC-noLocalVar-Laplacian,v2d_boundary_no_msc_no_local_var_laplacian,31597635,555266,54668559360,6292480,MACs,thop,2.864793,0.244502,349.065380,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,31587395,545026,54666200064,3933184,MACs,thop,2.823539,0.181176,354.165426,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + V2d-noBoundaryKeepMSC-noLocalVar,v2d_no_boundary_keep_msc_no_local_var,31596611,554242,54668559360,6292480,MACs,thop,2.846958,0.210669,351.252091,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + V2d-noBoundaryKeepMSC-noLocalVar-Laplacian,v2d_no_boundary_keep_msc_no_local_var_laplacian,31596611,554242,54668559360,6292480,MACs,thop,2.846851,0.230737,351.265354,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + V2d-noLocalVar,v2d_no_local_var,31616067,573698,54673277952,11011072,MACs,thop,2.841889,0.132546,351.878679,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + V2d-noLocalVar-Laplacian,v2d_no_local_var_laplacian,31616067,573698,54673277952,11011072,MACs,thop,2.866714,0.238740,348.831446,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
