method,variant,seed,source,metric,value,notes
U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,42,hybrid_bottleneck_test_sample,boundary_gate_mean,NA,diagnostic value: NA
U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,42,hybrid_bottleneck_test_sample,boundary_gate_std,NA,diagnostic value: NA
U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,42,hybrid_bottleneck_test_sample,speckle_gate_mean,0.017894666641950607,diagnostics from first deterministic test batch
U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,42,hybrid_bottleneck_test_sample,speckle_gate_std,0.00026098720263689756,diagnostics from first deterministic test batch
U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,42,hybrid_bottleneck_test_sample,suppression_ratio,0.9982692003250122,diagnostics from first deterministic test batch
U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,42,hybrid_bottleneck_test_sample,combined_gate_mean,0.9982692003250122,diagnostics from first deterministic test batch
U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,42,hybrid_bottleneck_test_sample,combined_gate_std,2.5245471988455392e-05,diagnostics from first deterministic test batch
U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,42,hybrid_bottleneck_test_sample,local_high_descriptor_mean,0.12964172661304474,diagnostics from first deterministic test batch
U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,42,hybrid_bottleneck_test_sample,local_variance_proxy_mean,NA,diagnostic value: NA
U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,42,hybrid_bottleneck_test_sample,multi_scale_consistency_mean,NA,diagnostic value: NA
U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,42,hybrid_bottleneck_test_sample,alpha_value,0.5371142029762268,diagnostics from first deterministic test batch
U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,42,hybrid_bottleneck_test_sample,beta_value,0.09672197699546814,diagnostics from first deterministic test batch
U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,42,hybrid_bottleneck_test_sample,channel_gate_mean,0.42371267080307007,diagnostics from first deterministic test batch
U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,42,hybrid_bottleneck_test_sample,channel_gate_std,0.40331417322158813,diagnostics from first deterministic test batch
U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,42,hybrid_bottleneck_test_sample,freq_init,NA,diagnostic value: random
U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,42,hybrid_bottleneck_test_sample,depthwise_weight_mean,-0.013109884224832058,diagnostics from first deterministic test batch
U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,42,hybrid_bottleneck_test_sample,depthwise_weight_std,0.9947738647460938,diagnostics from first deterministic test batch
U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,123,hybrid_bottleneck_test_sample,boundary_gate_mean,NA,diagnostic value: NA
U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,123,hybrid_bottleneck_test_sample,boundary_gate_std,NA,diagnostic value: NA
U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,123,hybrid_bottleneck_test_sample,speckle_gate_mean,0.01788981258869171,diagnostics from first deterministic test batch
U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,123,hybrid_bottleneck_test_sample,speckle_gate_std,0.0002326611429452896,diagnostics from first deterministic test batch
U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,123,hybrid_bottleneck_test_sample,suppression_ratio,0.9982448816299438,diagnostics from first deterministic test batch
U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,123,hybrid_bottleneck_test_sample,combined_gate_mean,0.9982448816299438,diagnostics from first deterministic test batch
