method=U-Net + V2d-noBoundary-noLocalVar, variant=v2d_no_boundary_no_local_var, priority=A, seed=42
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.427285, val_miou=0.793117, val_dice=0.824140
epoch=1, train_loss=0.336556, val_miou=0.785844, val_dice=0.817604
epoch=2, train_loss=0.306973, val_miou=0.530262, val_dice=0.622241
epoch=3, train_loss=0.272101, val_miou=0.757083, val_dice=0.799269
epoch=4, train_loss=0.243626, val_miou=0.798432, val_dice=0.834069
epoch=5, train_loss=0.249550, val_miou=0.755924, val_dice=0.798874
epoch=6, train_loss=0.230544, val_miou=0.826198, val_dice=0.854992
epoch=7, train_loss=0.209611, val_miou=0.834531, val_dice=0.861906
epoch=8, train_loss=0.196487, val_miou=0.819289, val_dice=0.845254
epoch=9, train_loss=0.194334, val_miou=0.787030, val_dice=0.824775
epoch=10, train_loss=0.193351, val_miou=0.836156, val_dice=0.865347
epoch=11, train_loss=0.184907, val_miou=0.827714, val_dice=0.858018
epoch=12, train_loss=0.180920, val_miou=0.790461, val_dice=0.826918
epoch=13, train_loss=0.167151, val_miou=0.813391, val_dice=0.839516
epoch=14, train_loss=0.165877, val_miou=0.776117, val_dice=0.818652
epoch=15, train_loss=0.164025, val_miou=0.841078, val_dice=0.868509
epoch=16, train_loss=0.163634, val_miou=0.802778, val_dice=0.836772
epoch=17, train_loss=0.163729, val_miou=0.794008, val_dice=0.827056
epoch=18, train_loss=0.164718, val_miou=0.743544, val_dice=0.789710
epoch=19, train_loss=0.159072, val_miou=0.752078, val_dice=0.795557
epoch=20, train_loss=0.147630, val_miou=0.831904, val_dice=0.862482
epoch=21, train_loss=0.150537, val_miou=0.842294, val_dice=0.871629
epoch=22, train_loss=0.140772, val_miou=0.846278, val_dice=0.874313
epoch=23, train_loss=0.136089, val_miou=0.835848, val_dice=0.866560
epoch=24, train_loss=0.137176, val_miou=0.810438, val_dice=0.845955
epoch=25, train_loss=0.134882, val_miou=0.822952, val_dice=0.856003
epoch=26, train_loss=0.134821, val_miou=0.848967, val_dice=0.876166
epoch=27, train_loss=0.127825, val_miou=0.817488, val_dice=0.852376
epoch=28, train_loss=0.125164, val_miou=0.847701, val_dice=0.875821
epoch=29, train_loss=0.125248, val_miou=0.796716, val_dice=0.835610
epoch=30, train_loss=0.133917, val_miou=0.740453, val_dice=0.788542
epoch=31, train_loss=0.125970, val_miou=0.833090, val_dice=0.864881
epoch=32, train_loss=0.120783, val_miou=0.841534, val_dice=0.871502
epoch=33, train_loss=0.116262, val_miou=0.831487, val_dice=0.864279
epoch=34, train_loss=0.121006, val_miou=0.846103, val_dice=0.874341
epoch=35, train_loss=0.124535, val_miou=0.847916, val_dice=0.876626
epoch=36, train_loss=0.114998, val_miou=0.837247, val_dice=0.868780
epoch=37, train_loss=0.114421, val_miou=0.841795, val_dice=0.871455
epoch=38, train_loss=0.114097, val_miou=0.859120, val_dice=0.885535
epoch=39, train_loss=0.113485, val_miou=0.843092, val_dice=0.873770
epoch=40, train_loss=0.113172, val_miou=0.833427, val_dice=0.865639
epoch=41, train_loss=0.112436, val_miou=0.836214, val_dice=0.867583
epoch=42, train_loss=0.109879, val_miou=0.847553, val_dice=0.876309
epoch=43, train_loss=0.112401, val_miou=0.842358, val_dice=0.871989
epoch=44, train_loss=0.109462, val_miou=0.849273, val_dice=0.877860
epoch=45, train_loss=0.110679, val_miou=0.844299, val_dice=0.873973
epoch=46, train_loss=0.106738, val_miou=0.844713, val_dice=0.874792
epoch=47, train_loss=0.105935, val_miou=0.838694, val_dice=0.869468
epoch=48, train_loss=0.105855, val_miou=0.839650, val_dice=0.870454
epoch=49, train_loss=0.110759, val_miou=0.835399, val_dice=0.867016
selected_best_epoch=38, val_miou=0.859120, val_dice=0.885535, test_miou=0.878555, test_dice=0.894385
