method=U-Net + V2d-noLocalVar-Laplacian, variant=v2d_no_local_var_laplacian, priority=A, seed=42
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.429107, val_miou=0.793452, val_dice=0.824666
epoch=1, train_loss=0.342495, val_miou=0.813677, val_dice=0.841022
epoch=2, train_loss=0.312664, val_miou=0.729378, val_dice=0.776436
epoch=3, train_loss=0.285387, val_miou=0.733106, val_dice=0.779045
epoch=4, train_loss=0.252641, val_miou=0.726829, val_dice=0.774930
epoch=5, train_loss=0.260669, val_miou=0.656149, val_dice=0.716890
epoch=6, train_loss=0.232020, val_miou=0.785362, val_dice=0.823192
epoch=7, train_loss=0.224319, val_miou=0.821956, val_dice=0.850470
epoch=8, train_loss=0.204242, val_miou=0.814120, val_dice=0.843734
epoch=9, train_loss=0.196928, val_miou=0.767038, val_dice=0.807081
epoch=10, train_loss=0.195289, val_miou=0.765415, val_dice=0.807065
epoch=11, train_loss=0.188918, val_miou=0.814048, val_dice=0.843917
epoch=12, train_loss=0.178695, val_miou=0.813671, val_dice=0.845970
epoch=13, train_loss=0.160534, val_miou=0.824853, val_dice=0.853069
epoch=14, train_loss=0.173902, val_miou=0.760237, val_dice=0.804960
epoch=15, train_loss=0.173071, val_miou=0.792458, val_dice=0.828842
epoch=16, train_loss=0.160834, val_miou=0.790676, val_dice=0.828781
epoch=17, train_loss=0.154316, val_miou=0.788284, val_dice=0.826785
epoch=18, train_loss=0.154872, val_miou=0.706466, val_dice=0.760965
epoch=19, train_loss=0.159646, val_miou=0.665649, val_dice=0.726896
epoch=20, train_loss=0.145915, val_miou=0.780702, val_dice=0.820216
epoch=21, train_loss=0.147508, val_miou=0.785048, val_dice=0.824327
epoch=22, train_loss=0.136422, val_miou=0.773525, val_dice=0.815331
epoch=23, train_loss=0.136269, val_miou=0.780967, val_dice=0.821601
epoch=24, train_loss=0.133978, val_miou=0.775624, val_dice=0.817368
epoch=25, train_loss=0.135536, val_miou=0.801848, val_dice=0.838977
epoch=26, train_loss=0.130025, val_miou=0.822042, val_dice=0.853858
epoch=27, train_loss=0.127494, val_miou=0.796713, val_dice=0.835136
epoch=28, train_loss=0.128321, val_miou=0.828222, val_dice=0.859824
epoch=29, train_loss=0.126027, val_miou=0.766983, val_dice=0.809833
epoch=30, train_loss=0.124654, val_miou=0.636352, val_dice=0.705777
epoch=31, train_loss=0.124398, val_miou=0.803507, val_dice=0.839853
epoch=32, train_loss=0.120573, val_miou=0.826493, val_dice=0.857400
epoch=33, train_loss=0.118792, val_miou=0.809599, val_dice=0.845153
epoch=34, train_loss=0.125297, val_miou=0.813591, val_dice=0.847523
epoch=35, train_loss=0.128148, val_miou=0.813491, val_dice=0.847758
epoch=36, train_loss=0.116115, val_miou=0.786127, val_dice=0.826461
epoch=37, train_loss=0.114169, val_miou=0.811436, val_dice=0.845908
epoch=38, train_loss=0.115426, val_miou=0.830419, val_dice=0.861772
epoch=39, train_loss=0.114091, val_miou=0.819321, val_dice=0.852841
epoch=40, train_loss=0.111232, val_miou=0.796795, val_dice=0.835110
epoch=41, train_loss=0.113866, val_miou=0.808334, val_dice=0.843977
epoch=42, train_loss=0.110768, val_miou=0.819083, val_dice=0.852600
epoch=43, train_loss=0.115943, val_miou=0.820427, val_dice=0.853467
epoch=44, train_loss=0.110678, val_miou=0.818154, val_dice=0.852303
epoch=45, train_loss=0.113761, val_miou=0.816654, val_dice=0.851012
epoch=46, train_loss=0.111327, val_miou=0.816524, val_dice=0.851488
epoch=47, train_loss=0.107335, val_miou=0.809642, val_dice=0.845343
epoch=48, train_loss=0.108130, val_miou=0.814119, val_dice=0.848696
epoch=49, train_loss=0.110097, val_miou=0.809716, val_dice=0.845304
selected_best_epoch=38, val_miou=0.830419, val_dice=0.861772, test_miou=0.856736, test_dice=0.874516
