backbone,method,variant,seed,val_miou,val_dice,test_miou,test_dice,best_epoch,checkpoint_path,status,notes
U-Net,U-Net,baseline,2026,0.8355075050002292,0.8649376000897859,0.8562891409308594,0.8736153306475182,31,/home/superws/2026_Projects/FA_DCG/exp/task_008_main_module_table/20260525_181115/checkpoints/unet_seed2026_best.pt,reused,reused from task_009: /home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/raw_metrics_per_seed.csv
U-Net,U-Net + CBAM,cbam,42,0.8512241007193548,0.878743231451608,0.8665598790619911,0.8833491434562778,35,/home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/checkpoints/unet_cbam_seed42_best.pt,reused,reused from task_009: /home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/raw_metrics_per_seed.csv
U-Net,U-Net + CBAM,cbam,123,0.8541949536650307,0.8813646696447291,0.8809223815677835,0.8967095897894214,44,/home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/checkpoints/unet_cbam_seed123_best.pt,reused,reused from task_009: /home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/raw_metrics_per_seed.csv
U-Net,U-Net + CBAM,cbam,2026,0.8489760135824325,0.8759568438020535,0.8792193476610644,0.8946097420245261,31,exp/task_008_main_module_table/20260525_181115/checkpoints/unet_cbam_seed2026_best.pt,reused,reused from task_009: /home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/raw_metrics_per_seed.csv
U-Net,U-Net + FADC-aligned,fadc_aligned,42,0.8356135699930991,0.8646034779692203,0.8625944492187902,0.8798630685745042,32,/home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/checkpoints/unet_fadcaligned_seed42_best.pt,reused,reused from task_009: /home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/raw_metrics_per_seed.csv
U-Net,U-Net + FADC-aligned,fadc_aligned,123,0.8442066876813136,0.871742948353517,0.869414848350571,0.8853301249864779,15,/home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/checkpoints/unet_fadcaligned_seed123_best.pt,reused,reused from task_009: /home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/raw_metrics_per_seed.csv
U-Net,U-Net + FADC-aligned,fadc_aligned,2026,0.8472814675940676,0.8759974087525547,0.8787481261068688,0.8949135733818252,41,exp/task_008_main_module_table/20260525_181115/checkpoints/unet_fadcaligned_seed2026_best.pt,reused,reused from task_009: /home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/raw_metrics_per_seed.csv
U-Net,U-Net + SRFG,srfg_v2d_nomsc,2026,0.8485544870971804,0.8771317436291756,0.8758743304725032,0.8921992566327545,41,/home/superws/2026_Projects/FA_DCG/exp/task_008_main_module_table/20260525_181115/checkpoints/unet_srfg_seed2026_best.pt,reused,reused from task_009: /home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/raw_metrics_per_seed.csv
U-Net,U-Net + V2d-BoundaryNoMSC-noLocalVar,v2d_boundary_no_msc_no_local_var,42,0.8458035838935398,0.8747420495189431,0.8701316167088509,0.8866483644546433,38,/home/superws/2026_Projects/FA_DCG/exp/task_010_v2d_nolocalvar_targeted/20260526_171742/checkpoints/unet_v2dboundarynomscnolocalvar_seed42_best.pt,completed,decoupling variant: keeps boundary gate but removes MSC and local variance descriptors
U-Net,U-Net + V2d-BoundaryNoMSC-noLocalVar,v2d_boundary_no_msc_no_local_var,123,0.8467429840311077,0.874945919595053,0.8776338681190323,0.8934976087409521,28,/home/superws/2026_Projects/FA_DCG/exp/task_010_v2d_nolocalvar_targeted/20260526_171742/checkpoints/unet_v2dboundarynomscnolocalvar_seed123_best.pt,completed,decoupling variant: keeps boundary gate but removes MSC and local variance descriptors
U-Net,U-Net + V2d-BoundaryNoMSC-noLocalVar,v2d_boundary_no_msc_no_local_var,2026,0.8550680038764142,0.8808311845511395,0.8748228476072657,0.8897772599745446,31,/home/superws/2026_Projects/FA_DCG/exp/task_010_v2d_nolocalvar_targeted/20260526_171742/checkpoints/unet_v2dboundarynomscnolocalvar_seed2026_best.pt,completed,decoupling variant: keeps boundary gate but removes MSC and local variance descriptors
U-Net,U-Net + V2d-BoundaryNoMSC-noLocalVar-Laplacian,v2d_boundary_no_msc_no_local_var_laplacian,42,0.8313774260242761,0.8619131511299317,0.8563294264765906,0.874530714084821,32,/home/superws/2026_Projects/FA_DCG/exp/task_010_v2d_nolocalvar_targeted/20260526_171742/checkpoints/unet_v2dboundarynomscnolocalvarlaplacian_seed42_best.pt,completed,boundary-only frequency gate variant with Laplacian depthwise initialization
U-Net,U-Net + V2d-BoundaryNoMSC-noLocalVar-Laplacian,v2d_boundary_no_msc_no_local_var_laplacian,123,0.8482570018941882,0.8765893283086708,0.8726892240841193,0.8891404343890387,46,/home/superws/2026_Projects/FA_DCG/exp/task_010_v2d_nolocalvar_targeted/20260526_171742/checkpoints/unet_v2dboundarynomscnolocalvarlaplacian_seed123_best.pt,completed,boundary-only frequency gate variant with Laplacian depthwise initialization
U-Net,U-Net + V2d-BoundaryNoMSC-noLocalVar-Laplacian,v2d_boundary_no_msc_no_local_var_laplacian,2026,0.847508185932017,0.8748448809486568,0.8733461358372425,0.8891823739719786,27,/home/superws/2026_Projects/FA_DCG/exp/task_010_v2d_nolocalvar_targeted/20260526_171742/checkpoints/unet_v2dboundarynomscnolocalvarlaplacian_seed2026_best.pt,completed,boundary-only frequency gate variant with Laplacian depthwise initialization
U-Net,U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,42,0.8591200251717297,0.8855352556270654,0.8785554689526214,0.8943846504933791,38,/home/superws/2026_Projects/FA_DCG/exp/task_010_v2d_nolocalvar_targeted/20260526_171742/checkpoints/unet_v2dnoboundarynolocalvar_seed42_best.pt,completed,"comparison variant without boundary, MSC, or local variance; seed 2026 is reused from task_009 when available"
U-Net,U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,123,0.8545728822453922,0.8816981230894952,0.881781361834076,0.8974746573180212,46,/home/superws/2026_Projects/FA_DCG/exp/task_010_v2d_nolocalvar_targeted/20260526_171742/checkpoints/unet_v2dnoboundarynolocalvar_seed123_best.pt,completed,"comparison variant without boundary, MSC, or local variance; seed 2026 is reused from task_009 when available"
