backbone,method,variant,num_seeds,val_miou_mean,val_miou_std,test_miou_mean,test_miou_std,test_dice_mean,test_dice_std,params_abs,params_delta_vs_unet,macs_abs,latency_ms_mean,fps,notes
U-Net,U-Net,baseline,1,0.835508,0.000000,0.856289,0.000000,0.873615,0.000000,31042369,0,54662266880,2.884045,346.735280,task_010 summary; reused rows imported from task_009 when noted
U-Net,U-Net + CBAM,cbam,3,0.851465,0.002618,0.875567,0.007847,0.891556,0.007185,31173539,131170,54662817280,3.092413,323.372104,task_010 summary; reused rows imported from task_009 when noted
U-Net,U-Net + FADC-aligned,fadc_aligned,3,0.842367,0.006048,0.870252,0.008109,0.886702,0.007618,31483786,441417,54682781696,4.223656,236.761725,task_010 summary; reused rows imported from task_009 when noted
U-Net,U-Net + SRFG,srfg_v2d_nomsc,1,0.848554,0.000000,0.875874,0.000000,0.892199,0.000000,31606851,564482,54670918656,2.863488,349.224419,task_010 summary; reused rows imported from task_009 when noted
U-Net,U-Net + V2d-BoundaryNoMSC-noLocalVar,v2d_boundary_no_msc_no_local_var,3,0.849205,0.005099,0.874196,0.003790,0.889974,0.003429,31597635,555266,54668559360,2.853670,350.425946,task_010 summary; reused rows imported from task_009 when noted
U-Net,U-Net + V2d-BoundaryNoMSC-noLocalVar-Laplacian,v2d_boundary_no_msc_no_local_var_laplacian,3,0.842381,0.009537,0.867455,0.009641,0.884285,0.008447,31597635,555266,54668559360,2.864793,349.065380,task_010 summary; reused rows imported from task_009 when noted
U-Net,U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,3,0.855517,0.003236,0.878788,0.002885,0.894550,0.002846,31587395,545026,54666200064,2.823539,354.165426,task_010 summary; reused rows imported from task_009 when noted
U-Net,U-Net + V2d-noBoundaryKeepMSC-noLocalVar,v2d_no_boundary_keep_msc_no_local_var,3,0.849269,0.002257,0.876184,0.004978,0.892184,0.004211,31596611,554242,54668559360,2.846958,351.252091,task_010 summary; reused rows imported from task_009 when noted
U-Net,U-Net + V2d-noBoundaryKeepMSC-noLocalVar-Laplacian,v2d_no_boundary_keep_msc_no_local_var_laplacian,3,0.840513,0.009622,0.864866,0.008989,0.881550,0.007522,31596611,554242,54668559360,2.846851,351.265354,task_010 summary; reused rows imported from task_009 when noted
U-Net,U-Net + V2d-noLocalVar,v2d_no_local_var,3,0.852836,0.003618,0.878237,0.001684,0.893934,0.001340,31616067,573698,54673277952,2.841889,351.878679,task_010 summary; reused rows imported from task_009 when noted
U-Net,U-Net + V2d-noLocalVar-Laplacian,v2d_no_local_var_laplacian,3,0.840407,0.009317,0.868196,0.009938,0.884775,0.008931,31616067,573698,54673277952,2.866714,348.831446,task_010 summary; reused rows imported from task_009 when noted
