method=U-Net + CBAM, variant=cbam, priority=baseline, seed=2027
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.366184, val_miou=0.797658, val_dice=0.830127
epoch=1, train_loss=0.326774, val_miou=0.807827, val_dice=0.835406
epoch=2, train_loss=0.290838, val_miou=0.809314, val_dice=0.836884
epoch=3, train_loss=0.275888, val_miou=0.796554, val_dice=0.831791
epoch=4, train_loss=0.250337, val_miou=0.721184, val_dice=0.771873
epoch=5, train_loss=0.243362, val_miou=0.816872, val_dice=0.843223
epoch=6, train_loss=0.212590, val_miou=0.829609, val_dice=0.858614
epoch=7, train_loss=0.200171, val_miou=0.832639, val_dice=0.861364
epoch=8, train_loss=0.208141, val_miou=0.826847, val_dice=0.858376
epoch=9, train_loss=0.186685, val_miou=0.834159, val_dice=0.862770
epoch=10, train_loss=0.192906, val_miou=0.686112, val_dice=0.742059
epoch=11, train_loss=0.181131, val_miou=0.773460, val_dice=0.816044
epoch=12, train_loss=0.171414, val_miou=0.823519, val_dice=0.856223
epoch=13, train_loss=0.162749, val_miou=0.830506, val_dice=0.862666
epoch=14, train_loss=0.159975, val_miou=0.837526, val_dice=0.867223
epoch=15, train_loss=0.151152, val_miou=0.805747, val_dice=0.841638
epoch=16, train_loss=0.138943, val_miou=0.834611, val_dice=0.864500
epoch=17, train_loss=0.156182, val_miou=0.833860, val_dice=0.860300
epoch=18, train_loss=0.145507, val_miou=0.819577, val_dice=0.853441
epoch=19, train_loss=0.139937, val_miou=0.794924, val_dice=0.832900
epoch=20, train_loss=0.136529, val_miou=0.821727, val_dice=0.855696
epoch=21, train_loss=0.137531, val_miou=0.829542, val_dice=0.861099
epoch=22, train_loss=0.133435, val_miou=0.837797, val_dice=0.867683
epoch=23, train_loss=0.143611, val_miou=0.842248, val_dice=0.870724
epoch=24, train_loss=0.141935, val_miou=0.810073, val_dice=0.846612
epoch=25, train_loss=0.125235, val_miou=0.807214, val_dice=0.844291
epoch=26, train_loss=0.136635, val_miou=0.806515, val_dice=0.843117
epoch=27, train_loss=0.126096, val_miou=0.830318, val_dice=0.862302
epoch=28, train_loss=0.119738, val_miou=0.822867, val_dice=0.856429
epoch=29, train_loss=0.121840, val_miou=0.838105, val_dice=0.868327
epoch=30, train_loss=0.120387, val_miou=0.849642, val_dice=0.877758
epoch=31, train_loss=0.117246, val_miou=0.823174, val_dice=0.857750
epoch=32, train_loss=0.114568, val_miou=0.824159, val_dice=0.858106
epoch=33, train_loss=0.110370, val_miou=0.855020, val_dice=0.881674
epoch=34, train_loss=0.117347, val_miou=0.843058, val_dice=0.871864
epoch=35, train_loss=0.108783, val_miou=0.840306, val_dice=0.870662
epoch=36, train_loss=0.109811, val_miou=0.839876, val_dice=0.870520
epoch=37, train_loss=0.111672, val_miou=0.811712, val_dice=0.847681
epoch=38, train_loss=0.111171, val_miou=0.829181, val_dice=0.862208
epoch=39, train_loss=0.108488, val_miou=0.844243, val_dice=0.874416
epoch=40, train_loss=0.108717, val_miou=0.852339, val_dice=0.880783
epoch=41, train_loss=0.104856, val_miou=0.844458, val_dice=0.874290
epoch=42, train_loss=0.104201, val_miou=0.845100, val_dice=0.874707
epoch=43, train_loss=0.103335, val_miou=0.839279, val_dice=0.870375
epoch=44, train_loss=0.108648, val_miou=0.847614, val_dice=0.876932
epoch=45, train_loss=0.106853, val_miou=0.839295, val_dice=0.870651
epoch=46, train_loss=0.103291, val_miou=0.841477, val_dice=0.872225
epoch=47, train_loss=0.104408, val_miou=0.847728, val_dice=0.877166
epoch=48, train_loss=0.103299, val_miou=0.845933, val_dice=0.875340
epoch=49, train_loss=0.102002, val_miou=0.843153, val_dice=0.873372
selected_best_epoch=33, val_miou=0.855020, val_dice=0.881674, test_miou=0.873478, test_dice=0.890031
