method=U-Net + V2d-noBoundary-noLocalVar, variant=v2d_no_boundary_no_local_var, priority=B, seed=2028
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.414517, val_miou=0.752494, val_dice=0.793634
epoch=1, train_loss=0.330340, val_miou=0.761159, val_dice=0.799322
epoch=2, train_loss=0.298192, val_miou=0.632283, val_dice=0.697988
epoch=3, train_loss=0.263813, val_miou=0.821225, val_dice=0.851122
epoch=4, train_loss=0.253926, val_miou=0.796120, val_dice=0.830703
epoch=5, train_loss=0.232746, val_miou=0.812010, val_dice=0.844133
epoch=6, train_loss=0.228445, val_miou=0.761970, val_dice=0.802275
epoch=7, train_loss=0.207916, val_miou=0.784684, val_dice=0.823000
epoch=8, train_loss=0.195558, val_miou=0.810752, val_dice=0.844931
epoch=9, train_loss=0.184205, val_miou=0.796925, val_dice=0.833285
epoch=10, train_loss=0.183556, val_miou=0.831118, val_dice=0.858512
epoch=11, train_loss=0.179294, val_miou=0.804730, val_dice=0.828486
epoch=12, train_loss=0.202150, val_miou=0.850243, val_dice=0.878197
epoch=13, train_loss=0.165359, val_miou=0.756701, val_dice=0.801189
epoch=14, train_loss=0.157555, val_miou=0.825149, val_dice=0.856736
epoch=15, train_loss=0.148463, val_miou=0.735677, val_dice=0.786015
epoch=16, train_loss=0.152784, val_miou=0.825604, val_dice=0.858288
epoch=17, train_loss=0.172582, val_miou=0.825769, val_dice=0.858084
epoch=18, train_loss=0.158619, val_miou=0.837072, val_dice=0.867352
epoch=19, train_loss=0.149713, val_miou=0.802121, val_dice=0.838998
epoch=20, train_loss=0.147684, val_miou=0.774067, val_dice=0.816837
epoch=21, train_loss=0.133531, val_miou=0.817535, val_dice=0.852680
epoch=22, train_loss=0.142349, val_miou=0.821163, val_dice=0.853946
epoch=23, train_loss=0.135341, val_miou=0.840683, val_dice=0.869205
epoch=24, train_loss=0.132372, val_miou=0.829158, val_dice=0.860385
epoch=25, train_loss=0.124626, val_miou=0.825151, val_dice=0.858739
epoch=26, train_loss=0.123384, val_miou=0.818469, val_dice=0.851866
epoch=27, train_loss=0.125415, val_miou=0.835053, val_dice=0.866108
epoch=28, train_loss=0.129949, val_miou=0.828545, val_dice=0.859523
epoch=29, train_loss=0.123435, val_miou=0.826109, val_dice=0.859096
epoch=30, train_loss=0.128713, val_miou=0.834336, val_dice=0.866548
epoch=31, train_loss=0.119232, val_miou=0.834078, val_dice=0.866247
epoch=32, train_loss=0.118382, val_miou=0.841810, val_dice=0.872417
epoch=33, train_loss=0.118184, val_miou=0.842653, val_dice=0.871751
epoch=34, train_loss=0.110778, val_miou=0.840903, val_dice=0.871585
epoch=35, train_loss=0.115859, val_miou=0.851646, val_dice=0.879737
epoch=36, train_loss=0.113599, val_miou=0.839043, val_dice=0.870249
epoch=37, train_loss=0.114007, val_miou=0.848809, val_dice=0.878044
epoch=38, train_loss=0.108475, val_miou=0.830197, val_dice=0.862981
epoch=39, train_loss=0.111294, val_miou=0.843722, val_dice=0.873695
epoch=40, train_loss=0.107702, val_miou=0.841356, val_dice=0.871450
epoch=41, train_loss=0.108923, val_miou=0.845387, val_dice=0.874891
epoch=42, train_loss=0.106693, val_miou=0.838257, val_dice=0.869035
epoch=43, train_loss=0.105528, val_miou=0.841485, val_dice=0.871225
epoch=44, train_loss=0.105066, val_miou=0.846718, val_dice=0.876176
epoch=45, train_loss=0.105625, val_miou=0.844774, val_dice=0.874224
epoch=46, train_loss=0.103872, val_miou=0.839835, val_dice=0.870482
epoch=47, train_loss=0.106771, val_miou=0.838799, val_dice=0.869608
epoch=48, train_loss=0.104698, val_miou=0.848747, val_dice=0.877817
epoch=49, train_loss=0.118743, val_miou=0.853453, val_dice=0.881170
selected_best_epoch=49, val_miou=0.853453, val_dice=0.881170, test_miou=0.882947, test_dice=0.898849
