backbone,method,variant,seed,val_miou,val_dice,test_miou,test_dice,best_epoch,checkpoint_path,status,notes
U-Net,U-Net,baseline,2026,0.8355075050002292,0.8649376000897859,0.8562891409308594,0.8736153306475182,31,/home/superws/2026_Projects/FA_DCG/exp/task_008_main_module_table/20260525_181115/checkpoints/unet_seed2026_best.pt,reused,reused from task_008: /home/superws/2026_Projects/FA_DCG/exp/task_008_main_module_table/20260525_181115/raw_metrics_per_seed.csv
U-Net,U-Net + CBAM,cbam,2026,0.8489760135824325,0.8759568438020535,0.8792193476610644,0.8946097420245261,31,exp/task_008_main_module_table/20260525_181115/checkpoints/unet_cbam_seed2026_best.pt,reused,reused from task_008: /home/superws/2026_Projects/FA_DCG/exp/task_008_main_module_table/20260525_181115/raw_metrics_per_seed.csv
U-Net,U-Net + CBAM,cbam,2027,0.8550199530854106,0.8816741010654133,0.8734780277810408,0.8900313381535234,33,/home/superws/2026_Projects/FA_DCG/exp/task_011_cbam_vs_v2d_6seed/20260527_extra_seeds/checkpoints/unet_cbam_seed2027_best.pt,completed,confirmation baseline: U-Net bottleneck CBAM under the task_009 protocol
U-Net,U-Net + CBAM,cbam,2028,0.8532415492783765,0.8805172625330052,0.8775047980776467,0.8937617711773158,32,/home/superws/2026_Projects/FA_DCG/exp/task_011_cbam_vs_v2d_6seed/20260527_extra_seeds/checkpoints/unet_cbam_seed2028_best.pt,completed,confirmation baseline: U-Net bottleneck CBAM under the task_009 protocol
U-Net,U-Net + CBAM,cbam,2029,0.8559388938980116,0.8828203577274509,0.8765791490911785,0.8925976503236727,32,/home/superws/2026_Projects/FA_DCG/exp/task_011_cbam_vs_v2d_6seed/20260527_extra_seeds/checkpoints/unet_cbam_seed2029_best.pt,completed,confirmation baseline: U-Net bottleneck CBAM under the task_009 protocol
U-Net,U-Net + FADC-aligned,fadc_aligned,2026,0.8472814675940676,0.8759974087525547,0.8787481261068688,0.8949135733818252,41,exp/task_008_main_module_table/20260525_181115/checkpoints/unet_fadcaligned_seed2026_best.pt,reused,reused from task_008: /home/superws/2026_Projects/FA_DCG/exp/task_008_main_module_table/20260525_181115/raw_metrics_per_seed.csv
U-Net,U-Net + SRFG,srfg_v2d_nomsc,2026,0.8485544870971804,0.8771317436291756,0.8758743304725032,0.8921992566327545,41,/home/superws/2026_Projects/FA_DCG/exp/task_008_main_module_table/20260525_181115/checkpoints/unet_srfg_seed2026_best.pt,reused,reused from task_008: /home/superws/2026_Projects/FA_DCG/exp/task_008_main_module_table/20260525_181115/raw_metrics_per_seed.csv
U-Net,U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,2027,0.853410407816251,0.8818655145551614,0.8776049766527577,0.8941768584848455,33,/home/superws/2026_Projects/FA_DCG/exp/task_011_cbam_vs_v2d_6seed/20260527_extra_seeds/checkpoints/unet_v2dnoboundarynolocalvar_seed2027_best.pt,completed,"V2d ablation without boundary, MSC, or local variance; keeps channel and speckle gates"
U-Net,U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,2028,0.8534528961349659,0.8811697504760911,0.8829467929673207,0.8988490339432573,49,/home/superws/2026_Projects/FA_DCG/exp/task_011_cbam_vs_v2d_6seed/20260527_extra_seeds/checkpoints/unet_v2dnoboundarynolocalvar_seed2028_best.pt,completed,"V2d ablation without boundary, MSC, or local variance; keeps channel and speckle gates"
U-Net,U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,2029,0.8469468861691839,0.8762212617118531,0.8757989480990198,0.8922967523206101,30,/home/superws/2026_Projects/FA_DCG/exp/task_011_cbam_vs_v2d_6seed/20260527_extra_seeds/checkpoints/unet_v2dnoboundarynolocalvar_seed2029_best.pt,completed,"V2d ablation without boundary, MSC, or local variance; keeps channel and speckle gates"
