method,variant,seed,source,module_index,module_class,metric,value,notes
FCN + Residual-only,residual_only,42,first_test_batch,0,ResidualOnlyBlock,alpha_value,0.42964673042297363,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,42,first_test_batch,0,ResidualOnlyBlock,depthwise_weight_mean,-0.004500111099332571,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,42,first_test_batch,0,ResidualOnlyBlock,depthwise_weight_std,1.0023045539855957,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,42,first_test_batch,1,ResidualOnlyBlock,alpha_value,0.4649374186992645,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,42,first_test_batch,1,ResidualOnlyBlock,depthwise_weight_mean,0.02158546820282936,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,42,first_test_batch,1,ResidualOnlyBlock,depthwise_weight_std,0.9867241978645325,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,123,first_test_batch,0,ResidualOnlyBlock,alpha_value,0.431488960981369,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,123,first_test_batch,0,ResidualOnlyBlock,depthwise_weight_mean,0.0018253143643960357,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,123,first_test_batch,0,ResidualOnlyBlock,depthwise_weight_std,0.9995317459106445,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,123,first_test_batch,1,ResidualOnlyBlock,alpha_value,0.46801209449768066,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,123,first_test_batch,1,ResidualOnlyBlock,depthwise_weight_mean,0.015545271337032318,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,123,first_test_batch,1,ResidualOnlyBlock,depthwise_weight_std,0.9774571061134338,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,2026,first_test_batch,0,ResidualOnlyBlock,alpha_value,0.4358483552932739,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,2026,first_test_batch,0,ResidualOnlyBlock,depthwise_weight_mean,-0.010942546650767326,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,2026,first_test_batch,0,ResidualOnlyBlock,depthwise_weight_std,0.9960436224937439,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,2026,first_test_batch,1,ResidualOnlyBlock,alpha_value,0.4725780785083771,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,2026,first_test_batch,1,ResidualOnlyBlock,depthwise_weight_mean,-0.0036203130148351192,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,2026,first_test_batch,1,ResidualOnlyBlock,depthwise_weight_std,1.0044015645980835,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,42,first_test_batch,0,FADCGV2dAblation,boundary_gate_mean,NA,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,42,first_test_batch,0,FADCGV2dAblation,boundary_gate_std,NA,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,42,first_test_batch,0,FADCGV2dAblation,speckle_gate_mean,0.018033962696790695,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,42,first_test_batch,0,FADCGV2dAblation,speckle_gate_std,0.00046252738684415817,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,42,first_test_batch,0,FADCGV2dAblation,suppression_ratio,0.9981749057769775,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,42,first_test_batch,0,FADCGV2dAblation,combined_gate_mean,0.9981749057769775,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,42,first_test_batch,0,FADCGV2dAblation,combined_gate_std,4.680874553741887e-05,module input diagnostics collected with forward pre-hooks
