method=FCN + Residual-only, variant=residual_only, seed=2028
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.437196, val_miou=0.731094, val_dice=0.748708
epoch=1, train_loss=0.374037, val_miou=0.740565, val_dice=0.765566
epoch=2, train_loss=0.358745, val_miou=0.597057, val_dice=0.549605
epoch=3, train_loss=0.316624, val_miou=0.741430, val_dice=0.760866
epoch=4, train_loss=0.318149, val_miou=0.735359, val_dice=0.756637
epoch=5, train_loss=0.294852, val_miou=0.740407, val_dice=0.764718
epoch=6, train_loss=0.284227, val_miou=0.760701, val_dice=0.785290
epoch=7, train_loss=0.263762, val_miou=0.768781, val_dice=0.796217
epoch=8, train_loss=0.269084, val_miou=0.699023, val_dice=0.743748
epoch=9, train_loss=0.263465, val_miou=0.737718, val_dice=0.778345
epoch=10, train_loss=0.241507, val_miou=0.759932, val_dice=0.790094
epoch=11, train_loss=0.239746, val_miou=0.769565, val_dice=0.796540
epoch=12, train_loss=0.233190, val_miou=0.785815, val_dice=0.814468
epoch=13, train_loss=0.219986, val_miou=0.783909, val_dice=0.813475
epoch=14, train_loss=0.217648, val_miou=0.771206, val_dice=0.796216
epoch=15, train_loss=0.214036, val_miou=0.748584, val_dice=0.786137
epoch=16, train_loss=0.210239, val_miou=0.798754, val_dice=0.827357
epoch=17, train_loss=0.220261, val_miou=0.790394, val_dice=0.820262
epoch=18, train_loss=0.219056, val_miou=0.777276, val_dice=0.807952
epoch=19, train_loss=0.213182, val_miou=0.752880, val_dice=0.787897
epoch=20, train_loss=0.209486, val_miou=0.715834, val_dice=0.760131
epoch=21, train_loss=0.189714, val_miou=0.803687, val_dice=0.833799
epoch=22, train_loss=0.194720, val_miou=0.789850, val_dice=0.817524
epoch=23, train_loss=0.186579, val_miou=0.791224, val_dice=0.821706
epoch=24, train_loss=0.190155, val_miou=0.772225, val_dice=0.804035
epoch=25, train_loss=0.179595, val_miou=0.801128, val_dice=0.831467
epoch=26, train_loss=0.175325, val_miou=0.798014, val_dice=0.827811
epoch=27, train_loss=0.174758, val_miou=0.786859, val_dice=0.818313
epoch=28, train_loss=0.181900, val_miou=0.811116, val_dice=0.840984
epoch=29, train_loss=0.176367, val_miou=0.805410, val_dice=0.835545
epoch=30, train_loss=0.183517, val_miou=0.794504, val_dice=0.825440
epoch=31, train_loss=0.176715, val_miou=0.801878, val_dice=0.831459
epoch=32, train_loss=0.172542, val_miou=0.811793, val_dice=0.841278
epoch=33, train_loss=0.169015, val_miou=0.805155, val_dice=0.831824
epoch=34, train_loss=0.162359, val_miou=0.814686, val_dice=0.842839
epoch=35, train_loss=0.163269, val_miou=0.817498, val_dice=0.845641
epoch=36, train_loss=0.165340, val_miou=0.811167, val_dice=0.841101
epoch=37, train_loss=0.161827, val_miou=0.812728, val_dice=0.841532
epoch=38, train_loss=0.159968, val_miou=0.803106, val_dice=0.832575
epoch=39, train_loss=0.160981, val_miou=0.812712, val_dice=0.839609
epoch=40, train_loss=0.155768, val_miou=0.805051, val_dice=0.832695
epoch=41, train_loss=0.155908, val_miou=0.805209, val_dice=0.834080
epoch=42, train_loss=0.155658, val_miou=0.804775, val_dice=0.832380
epoch=43, train_loss=0.158645, val_miou=0.810957, val_dice=0.837125
epoch=44, train_loss=0.151489, val_miou=0.809250, val_dice=0.837081
epoch=45, train_loss=0.153014, val_miou=0.808274, val_dice=0.835578
epoch=46, train_loss=0.151317, val_miou=0.810880, val_dice=0.838041
epoch=47, train_loss=0.154407, val_miou=0.809684, val_dice=0.838254
epoch=48, train_loss=0.150423, val_miou=0.811135, val_dice=0.838804
epoch=49, train_loss=0.161052, val_miou=0.815236, val_dice=0.841489
selected_best_epoch=35, val_miou=0.817498, val_dice=0.845641, test_miou=0.816800, test_dice=0.830969
