method=FCN + V2d-noBoundary-noLocalVar, variant=no_boundary_no_local_var, seed=2029
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.411053, val_miou=0.585704, val_dice=0.530660
epoch=1, train_loss=0.359427, val_miou=0.741917, val_dice=0.761889
epoch=2, train_loss=0.333443, val_miou=0.680445, val_dice=0.676425
epoch=3, train_loss=0.320712, val_miou=0.738224, val_dice=0.754760
epoch=4, train_loss=0.301570, val_miou=0.740291, val_dice=0.768737
epoch=5, train_loss=0.278028, val_miou=0.517899, val_dice=0.610703
epoch=6, train_loss=0.297061, val_miou=0.718916, val_dice=0.756916
epoch=7, train_loss=0.268290, val_miou=0.718440, val_dice=0.759503
epoch=8, train_loss=0.264200, val_miou=0.738052, val_dice=0.772279
epoch=9, train_loss=0.265352, val_miou=0.726882, val_dice=0.758984
epoch=10, train_loss=0.241091, val_miou=0.754179, val_dice=0.774143
epoch=11, train_loss=0.237815, val_miou=0.726820, val_dice=0.768715
epoch=12, train_loss=0.227956, val_miou=0.772896, val_dice=0.799482
epoch=13, train_loss=0.222515, val_miou=0.714397, val_dice=0.761262
epoch=14, train_loss=0.224891, val_miou=0.714275, val_dice=0.748633
epoch=15, train_loss=0.229424, val_miou=0.789653, val_dice=0.816567
epoch=16, train_loss=0.199911, val_miou=0.748112, val_dice=0.787492
epoch=17, train_loss=0.221228, val_miou=0.772830, val_dice=0.809799
epoch=18, train_loss=0.210565, val_miou=0.726654, val_dice=0.766266
epoch=19, train_loss=0.211803, val_miou=0.799357, val_dice=0.828152
epoch=20, train_loss=0.199825, val_miou=0.779169, val_dice=0.814134
epoch=21, train_loss=0.187757, val_miou=0.781445, val_dice=0.813445
epoch=22, train_loss=0.189009, val_miou=0.772461, val_dice=0.805901
epoch=23, train_loss=0.185996, val_miou=0.784520, val_dice=0.815307
epoch=24, train_loss=0.178551, val_miou=0.778511, val_dice=0.812904
epoch=25, train_loss=0.185591, val_miou=0.795977, val_dice=0.823577
epoch=26, train_loss=0.179125, val_miou=0.787786, val_dice=0.818865
epoch=27, train_loss=0.171746, val_miou=0.779262, val_dice=0.811478
epoch=28, train_loss=0.172064, val_miou=0.795031, val_dice=0.823036
epoch=29, train_loss=0.175439, val_miou=0.791549, val_dice=0.822158
epoch=30, train_loss=0.169684, val_miou=0.815252, val_dice=0.844447
epoch=31, train_loss=0.165931, val_miou=0.793065, val_dice=0.824326
epoch=32, train_loss=0.168260, val_miou=0.813870, val_dice=0.844077
epoch=33, train_loss=0.163245, val_miou=0.797026, val_dice=0.827686
epoch=34, train_loss=0.168124, val_miou=0.804045, val_dice=0.835237
epoch=35, train_loss=0.160047, val_miou=0.795933, val_dice=0.829221
epoch=36, train_loss=0.160071, val_miou=0.790119, val_dice=0.824918
epoch=37, train_loss=0.155206, val_miou=0.809320, val_dice=0.840531
epoch=38, train_loss=0.155277, val_miou=0.814974, val_dice=0.843025
epoch=39, train_loss=0.156617, val_miou=0.819691, val_dice=0.849187
epoch=40, train_loss=0.152856, val_miou=0.815293, val_dice=0.845547
epoch=41, train_loss=0.150235, val_miou=0.806869, val_dice=0.838522
epoch=42, train_loss=0.151318, val_miou=0.805878, val_dice=0.837284
epoch=43, train_loss=0.152349, val_miou=0.807054, val_dice=0.838351
epoch=44, train_loss=0.150936, val_miou=0.813175, val_dice=0.843704
epoch=45, train_loss=0.151133, val_miou=0.803502, val_dice=0.836091
epoch=46, train_loss=0.150383, val_miou=0.816139, val_dice=0.844862
epoch=47, train_loss=0.145227, val_miou=0.807489, val_dice=0.839271
epoch=48, train_loss=0.149337, val_miou=0.812434, val_dice=0.843574
epoch=49, train_loss=0.147575, val_miou=0.810315, val_dice=0.841256
selected_best_epoch=39, val_miou=0.819691, val_dice=0.849187, test_miou=0.822278, test_dice=0.837709
