method=FCN + FA-DCG V1.1, variant=v1_1, seed=123
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.392016, val_miou=0.753335, val_dice=0.779311
epoch=1, train_loss=0.346199, val_miou=0.704529, val_dice=0.712716
epoch=2, train_loss=0.330214, val_miou=0.716847, val_dice=0.727662
epoch=3, train_loss=0.329896, val_miou=0.737100, val_dice=0.770082
epoch=4, train_loss=0.296138, val_miou=0.760522, val_dice=0.783748
epoch=5, train_loss=0.290230, val_miou=0.771625, val_dice=0.804472
epoch=6, train_loss=0.272786, val_miou=0.753099, val_dice=0.772879
epoch=7, train_loss=0.262388, val_miou=0.757299, val_dice=0.783722
epoch=8, train_loss=0.260287, val_miou=0.752855, val_dice=0.780606
epoch=9, train_loss=0.249303, val_miou=0.754581, val_dice=0.776825
epoch=10, train_loss=0.235522, val_miou=0.771261, val_dice=0.798831
epoch=11, train_loss=0.227751, val_miou=0.747525, val_dice=0.787955
epoch=12, train_loss=0.223916, val_miou=0.758973, val_dice=0.786455
epoch=13, train_loss=0.218596, val_miou=0.776800, val_dice=0.806037
epoch=14, train_loss=0.218685, val_miou=0.786659, val_dice=0.813267
epoch=15, train_loss=0.209002, val_miou=0.750137, val_dice=0.781470
epoch=16, train_loss=0.206633, val_miou=0.775855, val_dice=0.809784
epoch=17, train_loss=0.190384, val_miou=0.788444, val_dice=0.820204
epoch=18, train_loss=0.212421, val_miou=0.792111, val_dice=0.821826
epoch=19, train_loss=0.202684, val_miou=0.791534, val_dice=0.820411
epoch=20, train_loss=0.194097, val_miou=0.796901, val_dice=0.828165
epoch=21, train_loss=0.189500, val_miou=0.809128, val_dice=0.838769
epoch=22, train_loss=0.194096, val_miou=0.778438, val_dice=0.811720
epoch=23, train_loss=0.178447, val_miou=0.802222, val_dice=0.831206
epoch=24, train_loss=0.178304, val_miou=0.787975, val_dice=0.820581
epoch=25, train_loss=0.172840, val_miou=0.797056, val_dice=0.828954
epoch=26, train_loss=0.174216, val_miou=0.795789, val_dice=0.823810
epoch=27, train_loss=0.178141, val_miou=0.810424, val_dice=0.842457
epoch=28, train_loss=0.167769, val_miou=0.805200, val_dice=0.836058
epoch=29, train_loss=0.172502, val_miou=0.798616, val_dice=0.831075
epoch=30, train_loss=0.169513, val_miou=0.814644, val_dice=0.842446
epoch=31, train_loss=0.168765, val_miou=0.810811, val_dice=0.840137
epoch=32, train_loss=0.164984, val_miou=0.796833, val_dice=0.831166
epoch=33, train_loss=0.160354, val_miou=0.816886, val_dice=0.848160
epoch=34, train_loss=0.161473, val_miou=0.811637, val_dice=0.842700
epoch=35, train_loss=0.158648, val_miou=0.810251, val_dice=0.839562
epoch=36, train_loss=0.161725, val_miou=0.816907, val_dice=0.846399
epoch=37, train_loss=0.156031, val_miou=0.817392, val_dice=0.847340
epoch=38, train_loss=0.156090, val_miou=0.818807, val_dice=0.848386
epoch=39, train_loss=0.151561, val_miou=0.818040, val_dice=0.846795
epoch=40, train_loss=0.150561, val_miou=0.811584, val_dice=0.842371
epoch=41, train_loss=0.150146, val_miou=0.816624, val_dice=0.846883
epoch=42, train_loss=0.152352, val_miou=0.809123, val_dice=0.840723
epoch=43, train_loss=0.150112, val_miou=0.819196, val_dice=0.848718
epoch=44, train_loss=0.149769, val_miou=0.817182, val_dice=0.847508
epoch=45, train_loss=0.147986, val_miou=0.816734, val_dice=0.846764
epoch=46, train_loss=0.150581, val_miou=0.816353, val_dice=0.845791
epoch=47, train_loss=0.148632, val_miou=0.811844, val_dice=0.842665
epoch=48, train_loss=0.147665, val_miou=0.815025, val_dice=0.845345
epoch=49, train_loss=0.147619, val_miou=0.816038, val_dice=0.846371
selected_best_epoch=43, val_miou=0.819196, val_dice=0.848718, test_miou=0.826753, test_dice=0.842768
