method=U-Net + FA-DCG V1.1, variant=v1_1, seed=42
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.429915, val_miou=0.796523, val_dice=0.825744
epoch=1, train_loss=0.346731, val_miou=0.810992, val_dice=0.838102
epoch=2, train_loss=0.313754, val_miou=0.813730, val_dice=0.840826
epoch=3, train_loss=0.291549, val_miou=0.825139, val_dice=0.852078
epoch=4, train_loss=0.260144, val_miou=0.799437, val_dice=0.834388
epoch=5, train_loss=0.257609, val_miou=0.701914, val_dice=0.753845
epoch=6, train_loss=0.238282, val_miou=0.808444, val_dice=0.842734
epoch=7, train_loss=0.219463, val_miou=0.816962, val_dice=0.847981
epoch=8, train_loss=0.205363, val_miou=0.825379, val_dice=0.855348
epoch=9, train_loss=0.203899, val_miou=0.781331, val_dice=0.817977
epoch=10, train_loss=0.208084, val_miou=0.771602, val_dice=0.813075
epoch=11, train_loss=0.201214, val_miou=0.813108, val_dice=0.846713
epoch=12, train_loss=0.191498, val_miou=0.837634, val_dice=0.864438
epoch=13, train_loss=0.173086, val_miou=0.830921, val_dice=0.859319
epoch=14, train_loss=0.174256, val_miou=0.777443, val_dice=0.819997
epoch=15, train_loss=0.182729, val_miou=0.804832, val_dice=0.839678
epoch=16, train_loss=0.166451, val_miou=0.822403, val_dice=0.854473
epoch=17, train_loss=0.158701, val_miou=0.807121, val_dice=0.841524
epoch=18, train_loss=0.157679, val_miou=0.741620, val_dice=0.790654
epoch=19, train_loss=0.155977, val_miou=0.781926, val_dice=0.821351
epoch=20, train_loss=0.146580, val_miou=0.829359, val_dice=0.860521
epoch=21, train_loss=0.143161, val_miou=0.842626, val_dice=0.871691
epoch=22, train_loss=0.139817, val_miou=0.810024, val_dice=0.845490
epoch=23, train_loss=0.136442, val_miou=0.818701, val_dice=0.853794
epoch=24, train_loss=0.136985, val_miou=0.792467, val_dice=0.831367
epoch=25, train_loss=0.133601, val_miou=0.816895, val_dice=0.851678
epoch=26, train_loss=0.131813, val_miou=0.843783, val_dice=0.871309
epoch=27, train_loss=0.126152, val_miou=0.820462, val_dice=0.854408
epoch=28, train_loss=0.125493, val_miou=0.825633, val_dice=0.858101
epoch=29, train_loss=0.125846, val_miou=0.820289, val_dice=0.854024
epoch=30, train_loss=0.126551, val_miou=0.737521, val_dice=0.787650
epoch=31, train_loss=0.124943, val_miou=0.842682, val_dice=0.872181
epoch=32, train_loss=0.120364, val_miou=0.829796, val_dice=0.862162
epoch=33, train_loss=0.115417, val_miou=0.808328, val_dice=0.845544
epoch=34, train_loss=0.117698, val_miou=0.844854, val_dice=0.873322
epoch=35, train_loss=0.117787, val_miou=0.841518, val_dice=0.871694
epoch=36, train_loss=0.114180, val_miou=0.840357, val_dice=0.870972
epoch=37, train_loss=0.112678, val_miou=0.839916, val_dice=0.870001
epoch=38, train_loss=0.113399, val_miou=0.852341, val_dice=0.880195
epoch=39, train_loss=0.112026, val_miou=0.836535, val_dice=0.867601
epoch=40, train_loss=0.108943, val_miou=0.837037, val_dice=0.868365
epoch=41, train_loss=0.112089, val_miou=0.835542, val_dice=0.867087
epoch=42, train_loss=0.108802, val_miou=0.845909, val_dice=0.875315
epoch=43, train_loss=0.111111, val_miou=0.842607, val_dice=0.872409
epoch=44, train_loss=0.108043, val_miou=0.847497, val_dice=0.876748
epoch=45, train_loss=0.109668, val_miou=0.841707, val_dice=0.871939
epoch=46, train_loss=0.106092, val_miou=0.836889, val_dice=0.868474
epoch=47, train_loss=0.104492, val_miou=0.836888, val_dice=0.867933
epoch=48, train_loss=0.105116, val_miou=0.841456, val_dice=0.871912
epoch=49, train_loss=0.108903, val_miou=0.837773, val_dice=0.868791
selected_best_epoch=38, val_miou=0.852341, val_dice=0.880195, test_miou=0.877796, test_dice=0.893829
