backbone,method,variant,seed,val_miou,val_dice,test_miou,test_dice,best_epoch,checkpoint_path,status,notes
FCN,FCN + FA-DCG V1.1,v1_1,42,0.8175087388099114,0.845644210122361,0.8174105986867859,0.831165447302199,44,/home/superws/2026_Projects/FA_DCG/exp/task_013_v1_1_3seed/20260603_3seed/checkpoints/fcn_fadcg_v1_1_seed42_best.pt,completed,accepted optimized V1.1 implementation using VectorizedLightFADC on the deep FCN path
FCN,FCN + FA-DCG V1.1,v1_1,123,0.8191961383332649,0.8487180654450285,0.8267526100868043,0.8427680359032692,43,/home/superws/2026_Projects/FA_DCG/exp/task_013_v1_1_3seed/20260603_3seed/checkpoints/fcn_fadcg_v1_1_seed123_best.pt,completed,accepted optimized V1.1 implementation using VectorizedLightFADC on the deep FCN path
FCN,FCN + FA-DCG V1.1,v1_1,2026,0.8169793117841306,0.846174306711308,0.8211463750114029,0.8363992385568054,35,/home/superws/2026_Projects/FA_DCG/exp/task_013_v1_1_3seed/20260603_3seed/checkpoints/fcn_fadcg_v1_1_seed2026_best.pt,completed,accepted optimized V1.1 implementation using VectorizedLightFADC on the deep FCN path
FCN,FCN + FA-DCG V1.1,v1_1,2027,0.8192128783787902,0.8478347254208795,0.8239142300544984,0.839170794281015,40,/home/superws/2026_Projects/FA_DCG/exp/task_013_v1_1_3seed/20260603_3seed/checkpoints/fcn_fadcg_v1_1_seed2027_best.pt,completed,accepted optimized V1.1 implementation using VectorizedLightFADC on the deep FCN path
FCN,FCN + FA-DCG V1.1,v1_1,2028,0.8225308210685414,0.8495583079380336,0.8259488667879282,0.840146929718093,49,/home/superws/2026_Projects/FA_DCG/exp/task_013_v1_1_3seed/20260603_3seed/checkpoints/fcn_fadcg_v1_1_seed2028_best.pt,completed,accepted optimized V1.1 implementation using VectorizedLightFADC on the deep FCN path
FCN,FCN + FA-DCG V1.1,v1_1,2029,0.8164629771734274,0.8446371488398209,0.8204644809698438,0.8348461154013574,39,/home/superws/2026_Projects/FA_DCG/exp/task_013_v1_1_3seed/20260603_3seed/checkpoints/fcn_fadcg_v1_1_seed2029_best.pt,completed,accepted optimized V1.1 implementation using VectorizedLightFADC on the deep FCN path
U-Net,U-Net + FA-DCG V1.1,v1_1,42,0.8523412598817643,0.8801948990739538,0.8777959552832701,0.8938286928063445,38,/home/superws/2026_Projects/FA_DCG/exp/task_013_v1_1_3seed/20260603_3seed/checkpoints/unet_fadcg_v1_1_seed42_best.pt,completed,accepted optimized V1.1 implementation using VectorizedLightFADC at the U-Net bottleneck
U-Net,U-Net + FA-DCG V1.1,v1_1,123,0.8461150559881827,0.8741941634067412,0.8764439537136723,0.892396722617203,30,/home/superws/2026_Projects/FA_DCG/exp/task_013_v1_1_3seed/20260603_3seed/checkpoints/unet_fadcg_v1_1_seed123_best.pt,completed,accepted optimized V1.1 implementation using VectorizedLightFADC at the U-Net bottleneck
U-Net,U-Net + FA-DCG V1.1,v1_1,2026,0.8564726019965003,0.8828047407630659,0.8798357230542201,0.8950063640546753,31,/home/superws/2026_Projects/FA_DCG/exp/task_013_v1_1_3seed/20260603_3seed/checkpoints/unet_fadcg_v1_1_seed2026_best.pt,completed,accepted optimized V1.1 implementation using VectorizedLightFADC at the U-Net bottleneck
U-Net,U-Net + FA-DCG V1.1,v1_1,2027,0.8505399239977824,0.876717953297931,0.8774848039485643,0.8932024440160108,29,/home/superws/2026_Projects/FA_DCG/exp/task_013_v1_1_3seed/20260603_3seed/checkpoints/unet_fadcg_v1_1_seed2027_best.pt,completed,accepted optimized V1.1 implementation using VectorizedLightFADC at the U-Net bottleneck
U-Net,U-Net + FA-DCG V1.1,v1_1,2028,0.8522345777414534,0.8805314271294751,0.871877014576443,0.888627766438287,30,/home/superws/2026_Projects/FA_DCG/exp/task_013_v1_1_3seed/20260603_3seed/checkpoints/unet_fadcg_v1_1_seed2028_best.pt,completed,accepted optimized V1.1 implementation using VectorizedLightFADC at the U-Net bottleneck
U-Net,U-Net + FA-DCG V1.1,v1_1,2029,0.8515236468585123,0.8795220923219075,0.8780316052898496,0.8945729251622337,46,/home/superws/2026_Projects/FA_DCG/exp/task_013_v1_1_3seed/20260603_3seed/checkpoints/unet_fadcg_v1_1_seed2029_best.pt,completed,accepted optimized V1.1 implementation using VectorizedLightFADC at the U-Net bottleneck
